Cycle;FreqIndex;Omega;Iterations;Error
-1;-1;10.78004;48;8.686658111400902e-5
-1;-1;10.78004;49;9.187975956592709e-5
-1;-1;10.78004;48;9.142326598521322e-5
-1;-1;10.78004;49;8.830436854623258e-5
-1;-1;10.78004;49;9.053321264218539e-5
-1;-1;10.78004;49;8.915185026125982e-5
-1;-1;10.78004;49;9.761503315530717e-5
-1;-1;10.78004;49;9.135402797255665e-5
-1;-1;10.78004;50;8.986905595520511e-5
-1;-1;10.78004;52;8.416487980866805e-5
-1;-1;10.78004;50;9.695847984403372e-5
-1;-1;10.78004;52;9.905468323267996e-5
-1;-1;10.78004;54;8.945859735831618e-5
-1;-1;10.78004;52;8.860814705258235e-5
-1;-1;10.78004;50;8.896165672922507e-5
-1;-1;10.78004;50;8.19382184999995e-5
-1;-1;10.78004;50;8.484848513035104e-5
-1;-1;10.78004;49;9.174556180369109e-5
-1;-1;10.78004;48;9.870337817119434e-5
-1;-1;10.78004;49;8.42866938910447e-5
-1;-1;10.78004;42;9.589452383806929e-5
-1;-1;12.127545;49;9.228273847838864e-5
-1;-1;12.127545;50;9.437022526981309e-5
-1;-1;12.127545;50;8.919309766497463e-5
-1;-1;12.127545;50;9.01825915207155e-5
-1;-1;12.127545;50;9.442878217669204e-5
-1;-1;12.127545;50;9.774669160833582e-5
-1;-1;12.127545;49;9.021112055052072e-5
-1;-1;12.127545;52;9.735226922202855e-5
-1;-1;12.127545;50;8.990288188215345e-5
-1;-1;12.127545;50;8.89011935214512e-5
-1;-1;12.127545;50;8.74203906278126e-5
-1;-1;12.127545;52;9.236696496373042e-5
-1;-1;12.127545;50;8.862078539095819e-5
-1;-1;12.127545;50;9.730079909786582e-5
-1;-1;12.127545;52;9.361189586343244e-5
-1;-1;12.127545;49;9.374054207000881e-5
-1;-1;12.127545;52;9.885802865028381e-5
-1;-1;12.127545;50;8.766649989411235e-5
-1;-1;12.127545;50;9.819357364904135e-5
-1;-1;12.127545;49;9.193341247737408e-5
-1;-1;12.127545;43;9.712048631627113e-5
-1;-1;13.47505;54;9.468616917729378e-5
-1;-1;13.47505;54;8.662093750899658e-5
-1;-1;13.47505;54;8.475996583001688e-5
-1;-1;13.47505;54;9.207354014506564e-5
-1;-1;13.47505;54;8.555073873139918e-5
-1;-1;13.47505;54;9.631847933633253e-5
-1;-1;13.47505;54;9.094111737795174e-5
-1;-1;13.47505;54;8.937736129155383e-5
-1;-1;13.47505;55;8.989840716822073e-5
-1;-1;13.47505;57;9.667538688518107e-5
-1;-1;13.47505;56;9.589038381818682e-5
-1;-1;13.47505;54;8.288218668894842e-5
-1;-1;13.47505;53;9.920189768308774e-5
-1;-1;13.47505;54;8.865048584993929e-5
-1;-1;13.47505;54;9.196942119160667e-5
-1;-1;13.47505;53;9.311779285781085e-5
-1;-1;13.47505;54;8.485859143547714e-5
-1;-1;13.47505;50;9.894152753986418e-5
-1;-1;13.47505;52;9.678447531769052e-5
-1;-1;13.47505;54;9.76429510046728e-5
-1;-1;13.47505;46;9.138314635492861e-5
-1;-1;28.297606;214;9.324525308329612e-5
-1;-1;28.297606;232;9.857305121840909e-5
-1;-1;28.297606;246;9.99478725134395e-5
-1;-1;28.297606;219;9.951723768608645e-5
-1;-1;28.297606;210;9.889257489703596e-5
-1;-1;28.297606;218;9.912250970955938e-5
-1;-1;28.297606;227;9.963511547539383e-5
-1;-1;28.297606;222;9.175067680189386e-5
-1;-1;28.297606;209;9.943086479324847e-5
-1;-1;28.297606;222;8.947611058829352e-5
-1;-1;28.297606;207;9.9201723060105e-5
-1;-1;28.297606;220;9.748154116095975e-5
-1;-1;28.297606;227;9.834557567955926e-5
-1;-1;28.297606;225;9.980656614061445e-5
