Cycle;FreqIndex;Omega;Iterations;Error
0;1;10.78004;28;8.193081157514825e-5
0;1;10.78004;30;8.497619273839518e-5
0;1;10.78004;37;8.564953895984218e-5
0;1;10.78004;30;8.268217789009213e-5
0;1;10.78004;37;6.884193862788379e-5
0;1;10.78004;30;8.288292883662507e-5
0;1;10.78004;37;8.965337474364787e-5
0;1;10.78004;30;9.9515775218606e-5
0;1;10.78004;36;9.66430816333741e-5
0;1;10.78004;30;8.612885721959174e-5
0;1;10.78004;28;7.788219227222726e-5
0;1;10.78004;30;8.965867891674861e-5
0;1;10.78004;36;9.520961611997336e-5
0;1;10.78004;30;7.0910835347604e-5
0;1;10.78004;36;8.244806667789817e-5
0;1;10.78004;30;7.742577145108953e-5
0;1;10.78004;36;8.468961459584534e-5
0;1;10.78004;30;8.04652736405842e-5
0;1;10.78004;36;8.653395343571901e-5
0;1;10.78004;29;9.891436639009044e-5
0;1;10.78004;37;6.933643453521654e-5
0;1;10.78004;30;7.810829265508801e-5
0;1;10.78004;36;9.054084512172267e-5
0;1;10.78004;30;7.703767187194899e-5
0;1;10.78004;36;7.109894067980349e-5
0;1;10.78004;30;7.158958760555834e-5
0;1;10.78004;28;8.307546522701159e-5
0;1;10.78004;30;7.860350888222456e-5
0;1;10.78004;37;8.330732816830277e-5
0;1;10.78004;30;8.918336970964447e-5
0;1;10.78004;37;7.522334635723382e-5
0;1;10.78004;30;9.378534741699696e-5
0;1;10.78004;37;7.336009002756327e-5
0;1;10.78004;32;9.019501158036292e-5
0;1;10.78004;36;8.5462823335547e-5
0;1;10.78004;30;8.270998660009354e-5
0;1;10.78004;36;9.889780631056055e-5
0;1;10.78004;32;9.639908967074007e-5
0;1;10.78004;37;8.722847269382328e-5
0;1;10.78004;32;9.853843948803842e-5
0;1;10.78004;36;8.19463239167817e-5
0;1;10.78004;30;8.275620348285884e-5
0;1;10.78004;29;8.525275916326791e-5
0;1;10.78004;32;8.715283183846623e-5
0;1;10.78004;39;8.4365950897336e-5
0;1;10.78004;34;8.529669867129996e-5
0;1;10.78004;38;8.850968879414722e-5
0;1;10.78004;33;9.148032404482365e-5
0;1;10.78004;38;9.39114615903236e-5
0;1;10.78004;34;8.03748334874399e-5
0;1;10.78004;37;9.507679351372644e-5
0;1;10.78004;34;7.540395017713308e-5
0;1;10.78004;38;8.649305527796969e-5
0;1;10.78004;33;9.89828331512399e-5
0;1;10.78004;38;9.997802408179268e-5
0;1;10.78004;34;7.665099110454321e-5
0;1;10.78004;37;9.721471724333242e-5
0;1;10.78004;33;8.660527964821085e-5
0;1;10.78004;29;8.750024426262826e-5
0;1;10.78004;33;8.560818969272077e-5
0;1;10.78004;39;7.313514652196318e-5
0;1;10.78004;34;8.479028474539518e-5
0;1;10.78004;37;9.574578143656254e-5
0;1;10.78004;34;7.66284647397697e-5
0;1;10.78004;39;7.28025333955884e-5
0;1;10.78004;34;9.35516000026837e-5
0;1;10.78004;38;8.278563473140821e-5
0;1;10.78004;35;7.222505519166589e-5
0;1;10.78004;38;7.807867223164067e-5
0;1;10.78004;34;8.246897050412372e-5
0;1;10.78004;38;7.962328527355567e-5
0;1;10.78004;34;8.52297234814614e-5
0;1;10.78004;38;7.519575592596084e-5
0;1;10.78004;34;8.850725862430409e-5
0;1;10.78004;32;8.195542613975704e-5
0;1;10.78004;35;8.824465476209298e-5
0;1;10.78004;42;9.830367343965918e-5
0;1;10.78004;36;8.640170563012362e-5
0;1;10.78004;40;8.926969894673675e-5
0;1;10.78004;36;7.837593875592574e-5
0;1;10.78004;40;9.863540617516264e-5
0;1;10.78004;36;9.084780322154984e-5
0;1;10.78004;42;8.617482671979815e-5
0;1;10.78004;36;8.266310032922775e-5
0;1;10.78004;42;8.982029976323247e-5
0;1;10.78004;36;9.140471956925467e-5
0;1;10.78004;42;7.999996159924194e-5
0;1;10.78004;36;8.316615276271477e-5
0;1;10.78004;42;8.347281254827976e-5
0;1;10.78004;36;9.393596701556817e-5
0;1;10.78004;32;9.315015631727874e-5
0;1;10.78004;35;9.456086991121992e-5
0;1;10.78004;42;9.556939039612189e-5
0;1;10.78004;36;9.787596354726702e-5
0;1;10.78004;42;8.545689343009144e-5
0;1;10.78004;36;8.238072041422129e-5
0;1;10.78004;42;9.581307676853612e-5
0;1;10.78004;37;8.107683970592916e-5
0;1;10.78004;40;9.842748113442212e-5
0;1;10.78004;36;9.257165947929025e-5
0;1;10.78004;42;9.051007509697229e-5
0;1;10.78004;36;8.423347026109695e-5
0;1;10.78004;42;8.869083103490993e-5
0;1;10.78004;36;9.247030538972467e-5
0;1;10.78004;40;8.991040522232652e-5
0;1;10.78004;36;8.66160771693103e-5
0;1;10.78004;32;9.351207700092345e-5
0;1;10.78004;35;9.161972411675379e-5
0;1;10.78004;43;9.418336412636563e-5
0;1;10.78004;36;9.419138223165646e-5
0;1;10.78004;42;9.007262269733474e-5
0;1;10.78004;37;7.672024366911501e-5
0;1;10.78004;42;9.814429358812049e-5
0;1;10.78004;37;8.179818541975692e-5
0;1;10.78004;43;9.052793029695749e-5
0;1;10.78004;37;7.968494901433587e-5
0;1;10.78004;42;8.738831093069166e-5
0;1;10.78004;36;8.779433119343594e-5
0;1;10.78004;42;8.836751658236608e-5
0;1;10.78004;36;9.597931057214737e-5
0;1;10.78004;42;8.544536831323057e-5
0;1;10.78004;36;8.299953333334997e-5
0;1;10.78004;32;8.397969941142946e-5
0;2;10.78004;32;8.443409024039283e-5
0;2;10.78004;35;8.68742645252496e-5
0;2;12.127545;32;9.855512325884774e-5
0;2;12.127545;35;9.041754674399272e-5
0;2;10.78004;42;8.20771383587271e-5
0;2;10.78004;36;9.137154120253399e-5
0;2;12.127545;43;8.931747288443148e-5
0;2;12.127545;36;7.883466605562717e-5
0;2;10.78004;42;7.877091411501169e-5
0;2;10.78004;36;8.477939263684675e-5
0;2;12.127545;44;8.34956590551883e-5
0;2;12.127545;36;8.133588562486693e-5
0;2;10.78004;42;7.765876216581091e-5
0;2;10.78004;36;9.410652273800224e-5
0;2;12.127545;45;7.984541298355907e-5
0;2;12.127545;37;9.551716357236728e-5
0;2;10.78004;40;9.9179771495983e-5
0;2;10.78004;36;7.978080247994512e-5
0;2;12.127545;45;8.143214654410258e-5
0;2;12.127545;38;8.763458026805893e-5
0;2;10.78004;40;9.454369865125045e-5
0;2;10.78004;36;8.637584687676281e-5
0;2;12.127545;43;9.277542267227545e-5
0;2;12.127545;36;9.368911560159177e-5
0;2;10.78004;42;8.554058877052739e-5
0;2;10.78004;37;7.410607213387266e-5
0;2;12.127545;43;9.580297046341002e-5
0;2;12.127545;36;8.307302778121084e-5
0;2;10.78004;40;9.075388516066596e-5
0;2;10.78004;36;8.432426693616435e-5
0;2;12.127545;42;8.573567174607888e-5
0;2;12.127545;36;7.856389129301533e-5
0;2;10.78004;32;7.964223914314061e-5
0;2;12.127545;32;8.813207386992872e-5
0;2;10.78004;34;9.956640133168548e-5
0;2;12.127545;35;7.879264740040526e-5
0;2;10.78004;40;8.503229037160054e-5
0;2;10.78004;35;9.236928599420935e-5
0;2;12.127545;42;9.336532093584538e-5
0;2;12.127545;36;8.016140782274306e-5
0;2;10.78004;40;9.77965391939506e-5
0;2;10.78004;35;9.95430164039135e-5
0;2;12.127545;40;9.604774095350876e-5
0;2;12.127545;35;8.770314161665738e-5
0;2;10.78004;40;8.093873475445434e-5
0;2;10.78004;36;7.954140164656565e-5
0;2;12.127545;42;9.785258589545265e-5
0;2;12.127545;36;8.850251469993964e-5
0;2;10.78004;40;8.014185732463375e-5
0;2;10.78004;35;9.38823795877397e-5
0;2;12.127545;43;9.071011299965903e-5
0;2;12.127545;37;7.912486034911126e-5
0;2;10.78004;40;8.612204692326486e-5
0;2;10.78004;36;7.962037489050999e-5
0;2;12.127545;42;9.266967390431091e-5
0;2;12.127545;36;8.456884825136513e-5
0;2;10.78004;40;8.13324804767035e-5
0;2;10.78004;36;8.275720028905198e-5
0;2;12.127545;44;8.953266660682857e-5
0;2;12.127545;37;8.172132220352069e-5
0;2;10.78004;40;8.599885768489912e-5
0;2;10.78004;35;9.49447276070714e-5
0;2;12.127545;43;9.625253733247519e-5
0;2;12.127545;36;8.529871411155909e-5
0;2;10.78004;30;8.867170254234225e-5
0;2;12.127545;32;7.773588004056364e-5
0;2;10.78004;34;9.859042620519176e-5
0;2;12.127545;34;9.02600513654761e-5
0;2;10.78004;39;9.776069055078551e-5
0;2;10.78004;35;8.563399023842067e-5
0;2;12.127545;42;9.376805246574804e-5
0;2;12.127545;36;8.137409167829901e-5
0;2;10.78004;39;8.75195546541363e-5
0;2;10.78004;35;7.73122301325202e-5
0;2;12.127545;42;9.288105502491817e-5
0;2;12.127545;35;8.709961548447609e-5
0;2;10.78004;39;8.715727017261088e-5
0;2;10.78004;35;8.104666630970314e-5
0;2;12.127545;42;8.561961294617504e-5
0;2;12.127545;36;9.646689431974664e-5
0;2;10.78004;38;9.715506166685373e-5
0;2;10.78004;35;8.693820564076304e-5
0;2;12.127545;43;9.235821198672056e-5
0;2;12.127545;37;8.15452731330879e-5
0;2;10.78004;38;9.975022112485021e-5
0;2;10.78004;35;8.216952119255438e-5
0;2;12.127545;43;9.810624032979831e-5
0;2;12.127545;37;8.228811930166557e-5
0;2;10.78004;40;7.864872895879671e-5
0;2;10.78004;35;8.16001629573293e-5
0;2;12.127545;40;9.491624950896949e-5
0;2;12.127545;35;7.353872206294909e-5
0;2;10.78004;39;7.550216105300933e-5
0;2;10.78004;35;8.301420166390017e-5
0;2;12.127545;40;7.892069697845727e-5
0;2;12.127545;36;7.904873928055167e-5
0;2;10.78004;32;8.221049938583747e-5
0;2;12.127545;32;8.614044054411352e-5
0;2;10.78004;35;9.354263602290303e-5
0;2;12.127545;35;7.944252138258889e-5
0;2;10.78004;40;9.546316141495481e-5
0;2;10.78004;36;8.649042865727097e-5
0;2;12.127545;43;8.81507367012091e-5
0;2;12.127545;37;8.405044354731217e-5
0;2;10.78004;42;8.986183092929423e-5
0;2;10.78004;36;9.09472000785172e-5
0;2;12.127545;42;9.898392454488203e-5
0;2;12.127545;36;8.642399188829586e-5
0;2;10.78004;40;9.446839248994365e-5
0;2;10.78004;36;8.397293277084827e-5
0;2;12.127545;42;9.695919288787991e-5
0;2;12.127545;36;9.97853567241691e-5
0;2;10.78004;40;9.375502122566104e-5
0;2;10.78004;36;8.76738631632179e-5
0;2;12.127545;44;8.104174776235595e-5
0;2;12.127545;37;8.45373360789381e-5
0;2;10.78004;40;8.335333404829726e-5
0;2;10.78004;36;8.121267455862835e-5
0;2;12.127545;42;7.889522385085002e-5
0;2;12.127545;35;9.493951802141964e-5
0;2;10.78004;39;9.893291280604899e-5
0;2;10.78004;36;9.015235264087096e-5
0;2;12.127545;42;9.866675827652216e-5
0;2;12.127545;36;9.835687524173409e-5
0;2;10.78004;42;8.234591950895265e-5
0;2;10.78004;36;9.183805377688259e-5
0;2;12.127545;42;9.935211710399017e-5
0;2;12.127545;36;8.575381798436865e-5
0;2;10.78004;32;8.167631312971935e-5
0;2;12.127545;32;8.27917829155922e-5
0;2;10.78004;34;9.813555516302586e-5
0;2;12.127545;34;9.495927952229977e-5
0;2;10.78004;42;7.716010441072285e-5
0;2;10.78004;36;8.061908738454804e-5
0;2;12.127545;42;9.851521463133395e-5
0;2;12.127545;36;7.999558874871582e-5
0;2;10.78004;40;8.104263542918488e-5
0;2;10.78004;35;9.319001401308924e-5
0;2;12.127545;43;9.69640095718205e-5
0;2;12.127545;36;9.695925109554082e-5
0;2;10.78004;40;7.728714990662411e-5
0;2;10.78004;35;9.6153948106803e-5
0;2;12.127545;42;9.137927554547787e-5
0;2;12.127545;36;8.10543933766894e-5
0;2;10.78004;39;8.97787103895098e-5
0;2;10.78004;36;8.317597530549392e-5
0;2;12.127545;40;9.105968638323247e-5
0;2;12.127545;37;8.397908095503226e-5
0;2;10.78004;39;9.264276013709605e-5
0;2;10.78004;36;7.45225916034542e-5
0;2;12.127545;42;9.66012230492197e-5
0;2;12.127545;36;9.971934196073562e-5
0;2;10.78004;40;9.230778232449666e-5
0;2;10.78004;36;7.222261046990752e-5
0;2;12.127545;43;9.051309461938217e-5
0;2;12.127545;36;8.316355524584651e-5
0;2;10.78004;39;9.173683793051168e-5
0;2;10.78004;36;7.914651359897107e-5
0;2;12.127545;42;8.826589328236878e-5
0;2;12.127545;36;8.941975829657167e-5
0;2;10.78004;32;9.08752263057977e-5
0;2;12.127545;32;9.603392390999943e-5
0;2;10.78004;35;9.993966523325071e-5
0;2;12.127545;35;8.960042760008946e-5
0;2;10.78004;42;9.289244189858437e-5
0;2;10.78004;36;9.48622400755994e-5
0;2;12.127545;43;9.355947258882225e-5
0;2;12.127545;36;9.24595951801166e-5
0;2;10.78004;43;8.67869021021761e-5
0;2;10.78004;37;7.562661630799994e-5
0;2;12.127545;44;8.221611642511562e-5
0;2;12.127545;36;9.938872244674712e-5
0;2;10.78004;42;8.086624438874424e-5
0;2;10.78004;37;8.141006401274353e-5
0;2;12.127545;44;8.240395982284099e-5
0;2;12.127545;37;9.672061423771083e-5
0;2;10.78004;42;9.368600876769051e-5
0;2;10.78004;36;9.694550681160763e-5
0;2;12.127545;44;8.033604535739869e-5
0;2;12.127545;36;9.958381997421384e-5
0;2;10.78004;42;8.349440759047866e-5
0;2;10.78004;36;9.580655751051381e-5
0;2;12.127545;42;9.4789189461153e-5
0;2;12.127545;36;9.055492409970611e-5
0;2;10.78004;40;8.151865768013522e-5
0;2;10.78004;37;8.035875362111256e-5
0;2;12.127545;42;8.940657426137477e-5
0;2;12.127545;37;8.674491255078465e-5
0;2;10.78004;43;9.899834549287334e-5
0;2;10.78004;37;9.09344817046076e-5
0;2;12.127545;43;9.765426511876285e-5
0;2;12.127545;36;9.158713510259986e-5
0;2;10.78004;32;8.825812983559445e-5
0;2;12.127545;32;8.37309198686853e-5
0;2;10.78004;35;8.778491610428318e-5
0;2;12.127545;35;9.812477946979925e-5
0;2;10.78004;42;9.380430856253952e-5
0;2;10.78004;36;9.426102769793943e-5
0;2;12.127545;43;9.398222755407915e-5
0;2;12.127545;36;8.74145989655517e-5
0;2;10.78004;40;9.473817772231996e-5
0;2;10.78004;36;7.951676525408402e-5
0;2;12.127545;44;7.703327719355002e-5
0;2;12.127545;36;9.85677688731812e-5
0;2;10.78004;40;8.675244316691533e-5
0;2;10.78004;36;9.463189780944958e-5
0;2;12.127545;43;9.303785918746144e-5
0;2;12.127545;36;9.970781684387475e-5
