Cycle;FreqIndex;Omega;Iterations;Error;Time;FromFunction
0;1;10.78004;37;9.109544230057054e-9;58.327414974;getData
0;1;10.78004;16;9.905298793455586e-5;23.271086362;SensTMatVec
0;1;10.78004;18;9.999253234127536e-5;26.297054019;SensMatVec
0;1;10.78004;17;6.168828986119479e-5;24.825335167;SensTMatVec
0;1;10.78004;18;9.729762678034604e-5;26.306467593;SensMatVec
0;1;10.78004;17;5.6576049246359617e-5;24.803761284;SensTMatVec
0;1;10.78004;18;9.052611130755395e-5;26.329636008;SensMatVec
0;1;10.78004;16;9.71644331002608e-5;23.401216648;SensTMatVec
0;1;10.78004;18;8.504656580043957e-5;26.288512962;SensMatVec
0;1;10.78004;16;9.893382957670838e-5;23.384510083;SensTMatVec
0;1;10.78004;18;8.252857514889911e-5;27.045864261;SensMatVec
0;1;10.78004;16;9.793778008315712e-5;23.393451724;SensTMatVec
0;1;10.78004;30;8.38441316375338e-9;43.878992056;getData
0;1;10.78004;16;7.702842412982136e-5;23.492557542;SensTMatVec
0;1;10.78004;18;7.8292861871887e-5;26.310787466;SensMatVec
0;1;10.78004;16;8.587000047555193e-5;23.387480935;SensTMatVec
0;1;10.78004;18;7.953581371111795e-5;26.350188421;SensMatVec
0;1;10.78004;16;7.678834663238376e-5;23.404457765;SensTMatVec
0;1;10.78004;18;7.888612162787467e-5;26.352261299;SensMatVec
0;1;10.78004;16;8.910032192943618e-5;23.49694939;SensTMatVec
0;1;10.78004;18;6.128278619144112e-5;26.367687509;SensMatVec
0;1;10.78004;16;6.913333345437422e-5;23.468142743;SensTMatVec
0;1;10.78004;18;6.840401329100132e-5;26.36883943;SensMatVec
0;1;10.78004;16;8.106723544187844e-5;23.451342087;SensTMatVec
0;1;10.78004;18;7.600545359309763e-5;26.376579375;SensMatVec
0;1;10.78004;16;8.15802050055936e-5;23.457292145;SensTMatVec
0;1;10.78004;17;9.921265882439911e-5;25.435063524;SensMatVec
0;1;10.78004;16;7.988571451278403e-5;23.39757014;SensTMatVec
0;1;10.78004;38;5.872800912243292e-9;55.475722095;getData
0;1;10.78004;16;9.891112131299451e-5;23.459313103;SensTMatVec
0;1;10.78004;20;7.027484389254823e-5;29.205142408;SensMatVec
0;1;10.78004;17;6.947168003534898e-5;24.862655663;SensTMatVec
0;1;10.78004;19;9.321163088316098e-5;27.816270238;SensMatVec
0;1;10.78004;17;6.198129995027557e-5;24.874867414;SensTMatVec
0;1;10.78004;19;9.349467291031033e-5;27.731407981;SensMatVec
0;1;10.78004;17;7.783352339174598e-5;24.867329069;SensTMatVec
0;1;10.78004;19;8.980090206023306e-5;27.736576972;SensMatVec
0;1;10.78004;17;7.61299961595796e-5;24.869564382;SensTMatVec
0;1;10.78004;19;8.41713190311566e-5;27.772416359;SensMatVec
0;1;10.78004;17;6.988106906646863e-5;24.888054726;SensTMatVec
0;1;10.78004;20;7.006469240877777e-5;29.237858768;SensMatVec
0;1;10.78004;17;7.102819654392079e-5;24.883394997;SensTMatVec
0;1;10.78004;19;6.114535790402442e-5;27.795184851;SensMatVec
0;1;10.78004;17;5.624912591883913e-5;24.913527324;SensTMatVec
0;1;10.78004;39;9.774565157272264e-9;57.08947294;getData
0;1;10.78004;18;8.640917803859338e-5;26.439269107;SensTMatVec
0;1;10.78004;23;7.299658318515867e-5;34.171730229;SensMatVec
0;1;10.78004;19;6.317595398286358e-5;27.731450613;SensTMatVec
0;1;10.78004;22;7.992552127689123e-5;32.160899005;SensMatVec
0;1;10.78004;18;9.936957940226421e-5;26.284495241;SensTMatVec
0;1;10.78004;22;7.668675243621692e-5;32.206901731;SensMatVec
0;1;10.78004;18;9.264680556952953e-5;26.298215095;SensTMatVec
0;1;10.78004;22;6.904542533447966e-5;32.205191543;SensMatVec
0;1;10.78004;18;9.292532195104286e-5;26.271514492;SensTMatVec
0;1;10.78004;22;7.021080091362819e-5;32.235364245;SensMatVec
