Cycle;FreqIndex;Omega;Iterations;Error;Time;FromFunction
0;1;10.78004;24;6.567740342688921e-7;9.591301628;getData
0;1;10.78004;17;6.783418211853132e-5;2.248555339;SensTMatVec
0;1;10.78004;19;6.451416265917942e-5;2.619611096;SensMatVec
0;1;10.78004;17;6.019797729095444e-5;2.161744138;SensTMatVec
0;1;10.78004;19;6.253646279219538e-5;2.581253586;SensMatVec
0;1;10.78004;17;6.192491127876565e-5;2.159597135;SensTMatVec
0;1;10.78004;19;5.807598427054472e-5;2.527952552;SensMatVec
0;1;10.78004;17;6.036694685462862e-5;2.151192795;SensTMatVec
0;1;10.78004;18;9.650640276959166e-5;2.239856285;SensMatVec
0;1;10.78004;17;6.159250187920406e-5;2.144550395;SensTMatVec
0;1;10.78004;19;5.430155943031423e-5;2.40699345;SensMatVec
0;1;10.78004;17;6.284959818003699e-5;2.144859195;SensTMatVec
0;1;10.78004;24;8.023255873013113e-7;3.074874442;getData
0;1;10.78004;17;7.780949817970395e-5;2.062494961;SensTMatVec
0;1;10.78004;19;8.251552935689688e-5;2.304324527;SensMatVec
0;1;10.78004;17;7.966956763993949e-5;2.267471137;SensTMatVec
0;1;10.78004;19;7.834023563191295e-5;2.361847047;SensMatVec
0;1;10.78004;17;6.506098725367337e-5;2.277239136;SensTMatVec
0;1;10.78004;19;7.315414404729381e-5;2.414097583;SensMatVec
0;1;10.78004;17;7.775941776344553e-5;2.089927848;SensTMatVec
0;1;10.78004;19;7.542494131485e-5;2.372828546;SensMatVec
0;1;10.78004;17;9.091568790609017e-5;2.107193205;SensTMatVec
0;1;10.78004;19;7.71765480749309e-5;2.354172958;SensMatVec
0;1;10.78004;17;8.303587674163282e-5;2.076647911;SensTMatVec
0;1;10.78004;19;8.231540414271876e-5;2.406701303;SensMatVec
0;1;10.78004;17;8.097893442027271e-5;2.137510598;SensTMatVec
0;1;10.78004;18;9.916022827383131e-5;2.261719617;SensMatVec
0;1;10.78004;17;8.002925460459664e-5;2.234471117;SensTMatVec
0;1;10.78004;26;7.211207844193268e-7;3.383832242;getData
0;1;10.78004;18;6.092260082368739e-5;2.328631156;SensTMatVec
0;1;10.78004;22;7.206314330687746e-5;2.927483304;SensMatVec
0;1;10.78004;18;6.499599112430587e-5;2.772300558;SensTMatVec
0;1;10.78004;20;8.283076749648899e-5;2.41805879;SensMatVec
0;1;10.78004;17;9.022623999044299e-5;2.214340307;SensTMatVec
0;1;10.78004;20;8.671757677802816e-5;2.42214074;SensMatVec
0;1;10.78004;18;7.767215720377862e-5;2.260238803;SensTMatVec
0;1;10.78004;20;7.224501314340159e-5;2.41932691;SensMatVec
0;1;10.78004;18;5.913585118832998e-5;2.21353428;SensTMatVec
0;1;10.78004;20;8.613628597231582e-5;2.407605605;SensMatVec
0;1;10.78004;18;8.258756133727729e-5;2.286175037;SensTMatVec
0;1;10.78004;22;7.179197564255446e-5;2.651013131;SensMatVec
0;1;10.78004;18;6.601442146347836e-5;2.413398123;SensTMatVec
0;1;10.78004;19;9.321556717623025e-5;2.350696212;SensMatVec
0;1;10.78004;18;5.9520760260056704e-5;2.274046448;SensTMatVec
0;1;10.78004;28;8.96443339115649e-7;3.462614728;getData
0;1;10.78004;19;9.138952736975625e-5;2.416888839;SensTMatVec
0;1;10.78004;24;5.940351547906175e-5;3.000037694;SensMatVec
0;1;10.78004;19;9.570435940986499e-5;2.505236499;SensTMatVec
0;1;10.78004;23;8.418159995926544e-5;2.818332429;SensMatVec
0;1;10.78004;19;9.949757077265531e-5;2.411523665;SensTMatVec
0;1;10.78004;23;7.574487244710326e-5;2.796673674;SensMatVec
0;1;10.78004;19;8.975868695415556e-5;2.363247915;SensTMatVec
0;1;10.78004;23;7.65670629334636e-5;2.788340289;SensMatVec
0;1;10.78004;19;9.276709897676483e-5;2.419548033;SensTMatVec
0;1;10.78004;22;9.801553096622229e-5;2.740033648;SensMatVec
