Cycle;FreqIndex;Omega;Iterations;Error
0;1;10.78004;15;7.179659587563947e-5
0;1;10.78004;17;6.821701390435919e-5
0;1;10.78004;19;6.348732131300494e-5
0;1;10.78004;17;7.594478665851057e-5
0;1;10.78004;19;5.95642595726531e-5
0;1;10.78004;17;6.70380613883026e-5
0;1;10.78004;19;5.395744665293023e-5
0;1;10.78004;17;6.840950663900003e-5
0;1;10.78004;19;5.485603105626069e-5
0;1;10.78004;17;6.21597355348058e-5
0;1;10.78004;19;5.558874545386061e-5
0;1;10.78004;17;6.671161099802703e-5
0;1;10.78004;15;7.462386565748602e-5
0;1;10.78004;16;9.885754843708128e-5
0;1;10.78004;19;6.202875374583527e-5
0;1;10.78004;17;6.151822162792087e-5
0;1;10.78004;18;9.978149319067597e-5
0;1;10.78004;16;9.901016164803877e-5
0;1;10.78004;18;9.269844304071739e-5
0;1;10.78004;16;9.920909360516816e-5
0;1;10.78004;19;6.458142161136493e-5
0;1;10.78004;17;6.195557944010943e-5
0;1;10.78004;19;5.335834066499956e-5
0;1;10.78004;17;6.312803452601656e-5
0;1;10.78004;19;6.084846972953528e-5
0;1;10.78004;17;6.259149085963145e-5
0;1;10.78004;18;7.463759538950399e-5
0;1;10.78004;16;9.635799506213516e-5
0;1;10.78004;16;8.738871838431805e-5
0;1;10.78004;18;7.163375994423404e-5
0;1;10.78004;22;7.182068657130003e-5
0;1;10.78004;18;7.29838793631643e-5
0;1;10.78004;20;9.441505972063169e-5
0;1;10.78004;18;7.033045403659344e-5
0;1;10.78004;20;8.816071203909814e-5
0;1;10.78004;18;7.891776476753876e-5
0;1;10.78004;20;9.948872320819646e-5
0;1;10.78004;18;8.374371827812865e-5
0;1;10.78004;20;9.22399849514477e-5
0;1;10.78004;18;8.880929090082645e-5
0;1;10.78004;22;6.865766044938937e-5
0;1;10.78004;18;7.704627205384895e-5
0;1;10.78004;19;9.814390068640932e-5
0;1;10.78004;18;6.159187614684924e-5
0;1;10.78004;17;8.813622844172642e-5
0;1;10.78004;19;7.262596773216501e-5
0;1;10.78004;23;8.571456419304013e-5
0;1;10.78004;19;8.052946941461414e-5
0;1;10.78004;23;8.814704779069871e-5
0;1;10.78004;19;9.765646973391995e-5
0;1;10.78004;22;8.478668314637616e-5
0;1;10.78004;19;7.058495975797996e-5
0;1;10.78004;22;7.947464473545551e-5
0;1;10.78004;19;7.70906699472107e-5
0;1;10.78004;22;9.394424705533311e-5
0;1;10.78004;19;8.518896356690675e-5
0;1;10.78004;20;9.860102727543563e-5
0;1;10.78004;19;8.695920405443758e-5
0;1;10.78004;22;9.749001037562266e-5
0;1;10.78004;19;8.385594992432743e-5
0;1;10.78004;18;9.132755076279864e-5
0;2;10.78004;28;7.778624421916902e-5
0;2;10.78004;30;9.978594607673585e-5
0;2;12.127545;33;8.219276060117409e-5
0;2;12.127545;37;8.069280738709494e-5
0;2;10.78004;36;8.63122841110453e-5
0;2;10.78004;32;8.80748630152084e-5
0;2;12.127545;40;9.217923070536926e-5
0;2;12.127545;37;9.68030872172676e-5
0;2;10.78004;35;9.91232373053208e-5
0;2;10.78004;32;7.220375846372917e-5
0;2;12.127545;40;8.576906839152798e-5
0;2;12.127545;36;9.249857976101339e-5
