Cycle;FreqIndex;Omega;Iterations;Error;Time;FromFunction
0;1;10.78004;38;5.2391784244321116e-9;6.247846202;getData
0;1;10.78004;17;6.203549128258601e-5;1.326685031;SensTMatVec
0;1;10.78004;19;6.115234282333404e-5;1.438036513;SensMatVec
0;1;10.78004;17;6.86979983584024e-5;1.494660342;SensTMatVec
0;1;10.78004;19;5.73144898226019e-5;1.455347474;SensMatVec
0;1;10.78004;17;6.60286532365717e-5;1.184628707;SensTMatVec
0;1;10.78004;18;9.801986743696034e-5;1.400161347;SensMatVec
0;1;10.78004;17;6.628056871704757e-5;1.220676046;SensTMatVec
0;1;10.78004;19;5.574944589170627e-5;1.335222684;SensMatVec
0;1;10.78004;17;6.064158515073359e-5;1.249623054;SensTMatVec
0;1;10.78004;19;5.5375450756400824e-5;1.336056307;SensMatVec
0;1;10.78004;17;6.936327554285526e-5;1.165676962;SensTMatVec
0;1;10.78004;19;6.149514229036868e-5;1.356825561;SensMatVec
0;1;10.78004;17;6.465433398261666e-5;1.309737186;SensTMatVec
0;1;10.78004;37;9.276210910513782e-9;2.646557895;getData
0;1;10.78004;16;9.942330507328734e-5;1.10344248;SensTMatVec
0;1;10.78004;19;5.72438002564013e-5;1.411121548;SensMatVec
0;1;10.78004;17;6.078383739804849e-5;1.330699353;SensTMatVec
0;1;10.78004;18;9.460801811655983e-5;1.343301562;SensMatVec
0;1;10.78004;17;5.633328328258358e-5;1.253326099;SensTMatVec
0;1;10.78004;18;9.168056567432359e-5;1.384467636;SensMatVec
0;1;10.78004;17;5.704646173398942e-5;1.193918639;SensTMatVec
0;1;10.78004;19;5.90694289712701e-5;1.348967268;SensMatVec
0;1;10.78004;17;6.599096377613023e-5;1.248296181;SensTMatVec
0;1;10.78004;19;5.241328835836612e-5;1.348947291;SensMatVec
0;1;10.78004;17;5.6588949519209564e-5;1.17433384;SensTMatVec
0;1;10.78004;18;9.507543290965259e-5;1.278971168;SensMatVec
0;1;10.78004;17;6.247298006201163e-5;1.349876714;SensTMatVec
0;1;10.78004;18;6.733422924298793e-5;1.243797577;SensMatVec
0;1;10.78004;16;9.903134196065366e-5;1.097593519;SensTMatVec
0;1;10.78004;38;6.113998640699947e-9;3.002121088;getData
0;1;10.78004;17;7.488775736419484e-5;1.189214817;SensTMatVec
0;1;10.78004;20;5.97282123635523e-5;1.565904668;SensMatVec
0;1;10.78004;17;8.20533387013711e-5;1.517044121;SensTMatVec
0;1;10.78004;19;9.12865943973884e-5;1.314947844;SensMatVec
0;1;10.78004;17;7.881017518229783e-5;1.233553685;SensTMatVec
0;1;10.78004;19;8.17688342067413e-5;1.258144226;SensMatVec
0;1;10.78004;17;8.189091749954969e-5;1.32113797;SensTMatVec
0;1;10.78004;19;8.466244617011398e-5;1.451386563;SensMatVec
0;1;10.78004;17;8.17671389086172e-5;1.158011464;SensTMatVec
0;1;10.78004;19;9.341623808722943e-5;1.336422177;SensMatVec
0;1;10.78004;17;8.58023704495281e-5;1.306446149;SensTMatVec
0;1;10.78004;20;5.8498149883234873e-5;1.469292055;SensMatVec
0;1;10.78004;17;8.681392500875518e-5;1.288680972;SensTMatVec
0;1;10.78004;19;6.479375588241965e-5;1.352263826;SensMatVec
0;1;10.78004;17;7.37807058612816e-5;1.3416094;SensTMatVec
0;1;10.78004;40;7.180971373088596e-9;2.838181359;getData
0;1;10.78004;19;9.410826896782964e-5;1.328918203;SensTMatVec
0;1;10.78004;23;9.41252801567316e-5;1.570844975;SensMatVec
0;1;10.78004;20;6.407987530110404e-5;1.422924691;SensTMatVec
0;1;10.78004;23;8.004187839105725e-5;1.673753964;SensMatVec
0;1;10.78004;19;8.869836892699823e-5;1.448811646;SensTMatVec
0;1;10.78004;23;9.453347593080252e-5;1.681191111;SensMatVec
0;1;10.78004;19;9.11434181034565e-5;1.363451538;SensTMatVec
0;1;10.78004;22;8.852288738125935e-5;1.554945116;SensMatVec
0;1;10.78004;19;9.134764695772901e-5;1.547532465;SensTMatVec
0;1;10.78004;22;9.300527744926512e-5;1.692536591;SensMatVec
0;1;10.78004;19;9.859987039817497e-5;1.351308845;SensTMatVec
0;1;10.78004;22;8.834277105052024e-5;1.565923974;SensMatVec
0;1;10.78004;19;9.920370212057605e-5;1.290022041;SensTMatVec
0;1;10.78004;23;7.254261436173692e-5;1.696558025;SensMatVec
0;1;10.78004;19;9.823255095398054e-5;1.389095515;SensTMatVec
0;1;10.78004;49;9.788843513547363e-9;3.51679869;getData
0;1;10.78004;22;7.689246558584273e-5;1.638725016;SensTMatVec
0;1;10.78004;26;8.029284072108567e-5;1.8727958;SensMatVec
0;1;10.78004;22;9.400447743246332e-5;1.553372481;SensTMatVec
0;1;10.78004;26;6.451526132877916e-5;1.907019089;SensMatVec
0;1;10.78004;22;8.524995791958645e-5;1.545832489;SensTMatVec
0;1;10.78004;25;8.696605800651014e-5;1.722421457;SensMatVec
0;1;10.78004;22;9.262311505153775e-5;1.608287817;SensTMatVec
0;1;10.78004;25;7.892677240306512e-5;1.745964812;SensMatVec
0;1;10.78004;22;8.795393659966066e-5;1.595579899;SensTMatVec
0;1;10.78004;24;9.44984785746783e-5;1.738565005;SensMatVec
0;1;10.78004;22;8.169058855855837e-5;1.600625095;SensTMatVec
0;1;10.78004;25;9.032723755808547e-5;1.805555828;SensMatVec
0;1;10.78004;22;9.256047633243725e-5;1.600608012;SensTMatVec
0;1;10.78004;26;7.406328950310126e-5;1.817583303;SensMatVec
0;1;10.78004;22;7.741924491710961e-5;1.625793695;SensTMatVec
0;1;10.78004;50;6.557528742234808e-9;3.448442031;getData
0;1;10.78004;22;8.438124496024102e-5;1.539926911;SensTMatVec
0;1;10.78004;25;9.090961248148233e-5;1.927783783;SensMatVec
0;1;10.78004;22;9.809600305743515e-5;1.805247566;SensTMatVec
0;1;10.78004;25;8.316938328789547e-5;1.88443905;SensMatVec
0;1;10.78004;23;7.098494825186208e-5;1.594820206;SensTMatVec
0;1;10.78004;25;9.785417933017015e-5;1.971695616;SensMatVec
0;1;10.78004;23;6.888296775287017e-5;1.809368158;SensTMatVec
0;1;10.78004;26;7.30686224414967e-5;1.874178778;SensMatVec
0;1;10.78004;23;6.975149881327525e-5;1.576522634;SensTMatVec
0;1;10.78004;25;9.522984328214079e-5;1.764330001;SensMatVec
0;1;10.78004;23;6.947023939574137e-5;1.600499187;SensTMatVec
0;1;10.78004;25;8.838980284053832e-5;1.761659274;SensMatVec
0;1;10.78004;22;8.629431977169588e-5;1.517371178;SensTMatVec
