Cycle;FreqIndex;Omega;Iterations;Error;Time;FromFunction
0;1;10.78004;24;7.087849667186674e-7;10.679624037;getData
0;1;10.78004;17;6.654284516116604e-5;2.690953396;SensTMatVec
0;1;10.78004;19;6.19722850387916e-5;3.075449282;SensMatVec
0;1;10.78004;17;6.551085243700072e-5;3.967617776;SensTMatVec
0;1;10.78004;19;6.171820859890431e-5;2.61936638;SensMatVec
0;1;10.78004;17;6.130169640528038e-5;2.45041536;SensTMatVec
0;1;10.78004;19;5.3076866606716067e-5;2.631120469;SensMatVec
0;1;10.78004;17;6.265623233048245e-5;2.351942199;SensTMatVec
0;1;10.78004;19;5.62316708965227e-5;2.673736702;SensMatVec
0;1;10.78004;17;5.939529000897892e-5;2.474033581;SensTMatVec
0;1;10.78004;19;5.535813033930026e-5;2.665060171;SensMatVec
0;1;10.78004;17;6.55769690638408e-5;2.473466063;SensTMatVec
0;1;10.78004;23;9.909466598401195e-7;3.184390646;getData
0;1;10.78004;16;9.764682909008116e-5;2.384157975;SensTMatVec
0;1;10.78004;19;5.558774864766747e-5;2.763043336;SensMatVec
0;1;10.78004;16;9.950113599188626e-5;2.510907842;SensTMatVec
0;1;10.78004;18;9.738589869812131e-5;2.600274016;SensMatVec
0;1;10.78004;16;8.880375389708206e-5;2.256050232;SensTMatVec
0;1;10.78004;18;8.713397983228788e-5;2.672241284;SensMatVec
0;1;10.78004;16;9.972576663130894e-5;2.354201595;SensTMatVec
0;1;10.78004;19;5.355702160159126e-5;2.895045132;SensMatVec
0;1;10.78004;17;6.228509300854057e-5;2.423310958;SensTMatVec
0;1;10.78004;18;9.301734826294705e-5;2.537872491;SensMatVec
0;1;10.78004;17;6.127489177742973e-5;2.340962093;SensTMatVec
0;1;10.78004;18;9.298891382059082e-5;2.644838441;SensMatVec
0;1;10.78004;17;5.798858910566196e-5;2.696266313;SensTMatVec
0;1;10.78004;18;8.014924242161214e-5;2.699694051;SensMatVec
0;1;10.78004;16;9.616173338145018e-5;2.249050931;SensTMatVec
0;1;10.78004;25;7.977828317962121e-7;3.421284648;getData
0;1;10.78004;17;7.697688124608248e-5;2.517142327;SensTMatVec
0;1;10.78004;20;7.295575778698549e-5;2.785825908;SensMatVec
0;1;10.78004;17;8.574225648771971e-5;2.298669786;SensTMatVec
0;1;10.78004;20;6.015338658471592e-5;3.063813896;SensMatVec
0;1;10.78004;17;7.682850264245644e-5;2.831719659;SensTMatVec
0;1;10.78004;20;6.226760160643607e-5;2.883705439;SensMatVec
0;1;10.78004;17;8.696833538124338e-5;2.409838664;SensTMatVec
0;1;10.78004;19;9.040374425239861e-5;2.601275757;SensMatVec
0;1;10.78004;17;8.253272244473919e-5;2.602610251;SensTMatVec
0;1;10.78004;20;6.029452561051585e-5;2.965639525;SensMatVec
0;1;10.78004;17;9.761554247234017e-5;2.460223381;SensTMatVec
0;1;10.78004;20;7.404842472169548e-5;2.835200452;SensMatVec
0;1;10.78004;17;9.066589700523764e-5;2.595798347;SensTMatVec
0;1;10.78004;19;6.509572267532349e-5;2.816062447;SensMatVec
0;1;10.78004;17;7.674941298319027e-5;2.553695858;SensTMatVec
0;1;10.78004;28;9.769968301043264e-7;3.819555099;getData
0;1;10.78004;19;6.733532791258767e-5;2.721424819;SensTMatVec
0;1;10.78004;24;6.11267241765745e-5;3.237438858;SensMatVec
0;1;10.78004;19;7.898423064034432e-5;2.729650626;SensTMatVec
0;1;10.78004;23;6.754107744200155e-5;3.299569867;SensMatVec
0;1;10.78004;19;7.488366100005805e-5;2.9411864;SensTMatVec
0;1;10.78004;23;8.031382458284497e-5;3.205487197;SensMatVec
0;1;10.78004;19;7.3185634391848e-5;2.637477059;SensTMatVec
0;1;10.78004;22;9.826810855884105e-5;3.229006379;SensMatVec
0;1;10.78004;19;8.153096860041842e-5;2.877471921;SensTMatVec
0;1;10.78004;23;7.105578697519377e-5;3.207892714;SensMatVec
0;1;10.78004;19;8.446325227851048e-5;2.624315442;SensTMatVec
0;1;10.78004;22;9.334796777693555e-5;3.078665368;SensMatVec
0;1;10.78004;19;7.495408499380574e-5;2.85478976;SensTMatVec
0;1;10.78004;23;8.018909284146503e-5;3.318819523;SensMatVec
0;1;10.78004;19;8.233791595557705e-5;2.929720455;SensTMatVec
0;1;10.78004;29;7.491897235922806e-7;4.022408487;getData
0;1;10.78004;20;7.026710227364674e-5;2.861307619;SensTMatVec
0;1;10.78004;24;9.352237975690514e-5;3.19691551;SensMatVec
0;1;10.78004;20;8.670530951349065e-5;2.709622886;SensTMatVec
0;1;10.78004;24;8.071833872236311e-5;3.404773088;SensMatVec
0;1;10.78004;20;8.705291111255065e-5;2.9120784;SensTMatVec
0;1;10.78004;24;6.457792915171012e-5;3.332388255;SensMatVec
0;1;10.78004;20;8.983141742646694e-5;2.905275241;SensTMatVec
0;1;10.78004;24;8.671742398291826e-5;3.277938336;SensMatVec
0;1;10.78004;20;8.245474600698799e-5;2.933537244;SensTMatVec
0;1;10.78004;24;7.032714347587898e-5;3.290557414;SensMatVec
0;1;10.78004;20;8.223146141972393e-5;2.768984113;SensTMatVec
0;1;10.78004;24;9.145488729700446e-5;3.341708621;SensMatVec
0;1;10.78004;20;8.35352620924823e-5;2.828986363;SensTMatVec
0;1;10.78004;24;6.226103141671047e-5;3.330947527;SensMatVec
0;1;10.78004;20;9.263476385967806e-5;2.845910072;SensTMatVec
0;1;10.78004;29;9.76932028606825e-7;4.063351669;getData
0;1;10.78004;20;8.077974052866921e-5;2.725209709;SensTMatVec
0;1;10.78004;24;8.183974568964913e-5;3.263949323;SensMatVec
0;1;10.78004;20;9.671378211351112e-5;2.866355717;SensTMatVec
0;1;10.78004;24;7.025855302345008e-5;3.274862786;SensMatVec
0;1;10.78004;20;8.522695861756802e-5;2.808251518;SensTMatVec
0;1;10.78004;24;6.774046778446063e-5;3.305975771;SensMatVec
0;1;10.78004;20;9.436692926101387e-5;2.980981337;SensTMatVec
0;1;10.78004;24;7.93546496424824e-5;3.438059578;SensMatVec
0;1;10.78004;20;9.983238123822957e-5;2.842050593;SensTMatVec
0;1;10.78004;24;7.59929753257893e-5;3.38079164;SensMatVec
0;1;10.78004;20;8.582927694078535e-5;2.799183395;SensTMatVec
0;1;10.78004;24;9.648760897107422e-5;3.376016256;SensMatVec
0;1;10.78004;20;9.42591650527902e-5;2.745393913;SensTMatVec
0;1;10.78004;24;6.930183008080348e-5;3.53443346;SensMatVec
0;1;10.78004;22;6.203473458299413e-5;3.453434614;SensTMatVec
0;1;10.78004;33;8.7660782810417e-7;5.110585145;getData
0;1;10.78004;22;9.118216257775202e-5;3.141756031;SensTMatVec
0;1;10.78004;26;7.647760503459722e-5;3.672197121;SensMatVec
0;1;10.78004;23;9.028470958583057e-5;3.254518103;SensTMatVec
0;1;10.78004;26;6.900316657265648e-5;3.784027891;SensMatVec
0;1;10.78004;23;9.100705938180909e-5;3.601978351;SensTMatVec
0;1;10.78004;26;6.930457311682403e-5;3.946346846;SensMatVec
0;1;10.78004;23;8.738986070966348e-5;3.16292189;SensTMatVec
0;1;10.78004;26;6.618592306040227e-5;3.801628571;SensMatVec
0;1;10.78004;23;7.786279456922784e-5;3.128888521;SensTMatVec
0;1;10.78004;25;9.168111864710227e-5;3.446025023;SensMatVec
0;1;10.78004;23;7.930101128295064e-5;3.177182469;SensTMatVec
0;1;10.78004;26;7.6100135629531e-5;4.175335741;SensMatVec
0;1;10.78004;23;8.486139995511621e-5;3.219207035;SensTMatVec
0;1;10.78004;25;7.853279385017231e-5;3.4599294;SensMatVec
0;1;10.78004;23;8.476038055960089e-5;3.205690812;SensTMatVec
0;1;10.78004;32;8.853584745338594e-7;4.478815744;getData
0;1;10.78004;22;8.20629793452099e-5;3.310654494;SensTMatVec
0;1;10.78004;26;6.44492101855576e-5;3.840233573;SensMatVec
0;1;10.78004;23;7.034822192508727e-5;3.316615696;SensTMatVec
0;1;10.78004;25;7.339480362134054e-5;3.553272401;SensMatVec
0;1;10.78004;23;7.204307621577755e-5;3.51136794;SensTMatVec
0;1;10.78004;25;9.471728117205203e-5;3.651649742;SensMatVec
0;1;10.78004;23;8.235339191742241e-5;3.520393625;SensTMatVec
0;1;10.78004;25;8.388613059651107e-5;3.40419546;SensMatVec
0;1;10.78004;22;9.644611418480054e-5;3.231555273;SensTMatVec
0;1;10.78004;25;9.070501255337149e-5;3.401451226;SensMatVec
0;1;10.78004;23;7.527491834480315e-5;3.333858286;SensTMatVec
0;1;10.78004;25;9.990357648348436e-5;3.631686545;SensMatVec
0;1;10.78004;22;9.85148290055804e-5;3.298419248;SensTMatVec
0;1;10.78004;25;8.102206629700959e-5;3.599711454;SensMatVec
0;1;10.78004;22;9.707819117465988e-5;3.558281605;SensTMatVec
0;1;10.78004;34;8.276375638160971e-7;4.57006442;getData
0;1;10.78004;23;9.612170833861455e-5;3.612313477;SensTMatVec
0;1;10.78004;27;7.923998055048287e-5;3.751403938;SensMatVec
0;1;10.78004;24;8.908708696253598e-5;3.777341567;SensTMatVec
0;1;10.78004;26;9.699134534457698e-5;3.703285979;SensMatVec
0;1;10.78004;24;7.774480036459863e-5;3.408476554;SensTMatVec
0;1;10.78004;27;6.730241875629872e-5;3.90340691;SensMatVec
0;1;10.78004;24;8.321076893480495e-5;3.286302004;SensTMatVec
