Cycle;FreqIndex;Omega;Iterations;Error
0;1;10.78004;15;7.19634335837327e-5
0;1;10.78004;17;7.076825568219647e-5
0;1;10.78004;19;6.352743366733193e-5
0;1;10.78004;17;7.068374543450773e-5
0;1;10.78004;19;6.193215813254938e-5
0;1;10.78004;17;6.830325582996011e-5
0;1;10.78004;19;5.991579746478237e-5
0;1;10.78004;17;5.884628990315832e-5
0;1;10.78004;18;9.393457003170624e-5
0;1;10.78004;17;6.610106356674805e-5
0;1;10.78004;18;9.975086140912026e-5
0;1;10.78004;17;6.603167275898159e-5
0;1;10.78004;19;6.54786781524308e-5
0;1;10.78004;17;6.774355279048905e-5
0;1;10.78004;15;8.045786671573296e-5
0;1;10.78004;17;7.864176586735994e-5
0;1;10.78004;19;9.282908285968006e-5
0;1;10.78004;17;6.710882007610053e-5
0;1;10.78004;19;7.5439405918587e-5
0;1;10.78004;17;6.320873217191547e-5
0;1;10.78004;19;5.855773633811623e-5
0;1;10.78004;17;6.363821012200788e-5
0;1;10.78004;19;7.49008177081123e-5
0;1;10.78004;17;6.452155503211543e-5
0;1;10.78004;19;7.599351374665275e-5
0;1;10.78004;17;7.530001312261447e-5
0;1;10.78004;19;9.174993465421721e-5
0;1;10.78004;17;6.611485150642693e-5
0;1;10.78004;19;5.629966108244844e-5
0;1;10.78004;17;6.305431452346966e-5
0;1;10.78004;16;8.206379425246269e-5
0;1;10.78004;18;6.126135849626735e-5
0;1;10.78004;22;7.43043128750287e-5
0;1;10.78004;18;6.93644251441583e-5
0;1;10.78004;22;6.163222133181989e-5
0;1;10.78004;18;6.20836581219919e-5
0;1;10.78004;20;8.616504055680707e-5
0;1;10.78004;18;6.840556306997314e-5
0;1;10.78004;20;8.49803545861505e-5
0;1;10.78004;18;5.8742134569911286e-5
0;1;10.78004;20;8.91585077624768e-5
0;1;10.78004;18;8.499775867676362e-5
0;1;10.78004;20;9.270769078284502e-5
0;1;10.78004;18;7.84501462476328e-5
0;1;10.78004;20;9.825368033489212e-5
0;1;10.78004;18;6.79827862768434e-5
0;1;10.78004;17;6.10957940807566e-5
0;1;10.78004;18;8.075687946984544e-5
0;1;10.78004;22;9.462455636821687e-5
0;1;10.78004;19;5.859852899448015e-5
0;1;10.78004;20;8.75655678100884e-5
0;1;10.78004;18;8.800984505796805e-5
0;1;10.78004;20;8.818801143206656e-5
0;1;10.78004;18;9.176944149658084e-5
0;1;10.78004;20;6.596792809432372e-5
0;1;10.78004;18;8.006897405721247e-5
0;1;10.78004;20;7.78318863012828e-5
0;1;10.78004;19;6.0539729020092636e-5
0;1;10.78004;22;6.540861795656383e-5
0;1;10.78004;19;5.909339233767241e-5
0;1;10.78004;20;9.021684672916308e-5
0;1;10.78004;18;9.086132195079699e-5
0;1;10.78004;18;8.546240133000538e-5
0;2;10.78004;18;7.733486563665792e-5
0;2;10.78004;20;6.438304990297183e-5
0;2;12.127545;19;8.132716902764514e-5
0;2;12.127545;22;7.802989421179518e-5
0;2;10.78004;24;7.346461643464863e-5
0;2;10.78004;20;8.306447125505656e-5
0;2;12.127545;26;8.239135786425322e-5
0;2;12.127545;23;6.966624641790986e-5
0;2;10.78004;23;8.828739373711869e-5
0;2;10.78004;19;9.868713823379949e-5
