Cycle;FreqIndex;Omega;Iterations;Error;Time;FromFunction
0;1;10.78004;24;6.668971082035569e-7;6.165185356;getData
0;1;10.78004;17;6.608729745494202e-5;1.42559251;SensTMatVec
0;1;10.78004;19;6.604182271985337e-5;1.631923841;SensMatVec
0;1;10.78004;17;6.023603054927662e-5;2.408350023;SensTMatVec
0;1;10.78004;19;6.24490567133762e-5;1.463646578;SensMatVec
0;1;10.78004;17;6.717602809658274e-5;1.355741872;SensTMatVec
0;1;10.78004;18;9.670667350292206e-5;1.358481271;SensMatVec
0;1;10.78004;17;6.129439861979336e-5;1.32117198;SensTMatVec
0;1;10.78004;19;5.7649511290946975e-5;1.421448996;SensMatVec
0;1;10.78004;17;6.431524525396526e-5;1.29674196;SensTMatVec
0;1;10.78004;24;5.878694082639413e-7;1.819466856;getData
0;1;10.78004;16;9.75399452727288e-5;1.23379863;SensTMatVec
0;1;10.78004;19;6.0689450037898496e-5;1.422872677;SensMatVec
0;1;10.78004;16;9.645336831454188e-5;1.367186171;SensTMatVec
0;1;10.78004;19;6.177965406095609e-5;1.48424985;SensMatVec
0;1;10.78004;17;5.7558281696401536e-5;1.408167721;SensTMatVec
0;1;10.78004;19;5.553057781071402e-5;1.38972863;SensMatVec
0;1;10.78004;17;5.823496758239344e-5;1.352035328;SensTMatVec
0;1;10.78004;18;9.442935697734356e-5;1.41052839;SensMatVec
0;1;10.78004;16;9.464425238547847e-5;1.21547205;SensTMatVec
0;1;10.78004;18;9.479001892032102e-5;1.36521833;SensMatVec
0;1;10.78004;17;5.588030762737617e-5;1.304099963;SensTMatVec
0;1;10.78004;19;6.322436092887074e-5;1.507197829;SensMatVec
0;1;10.78004;16;9.894109098240733e-5;1.204788748;SensTMatVec
0;1;10.78004;18;7.37417649361305e-5;1.32914126;SensMatVec
0;1;10.78004;16;9.746984142111614e-5;1.20842518;SensTMatVec
0;1;10.78004;25;8.386678587157803e-7;1.854086412;getData
0;1;10.78004;17;6.976875738473609e-5;1.271521156;SensTMatVec
0;1;10.78004;20;8.771667489781976e-5;1.594917739;SensMatVec
0;1;10.78004;17;7.977811037562788e-5;1.526179989;SensTMatVec
0;1;10.78004;20;6.466903141699731e-5;1.43500679;SensMatVec
0;1;10.78004;17;8.78261198522523e-5;1.322864385;SensTMatVec
0;1;10.78004;20;6.000468056299724e-5;1.476212712;SensMatVec
0;1;10.78004;17;8.97506542969495e-5;1.252916714;SensTMatVec
0;1;10.78004;19;9.416636021342129e-5;1.360226364;SensMatVec
0;1;10.78004;17;7.326921331696212e-5;1.302465677;SensTMatVec
0;1;10.78004;20;5.85753186896909e-5;1.437952216;SensMatVec
0;1;10.78004;17;9.214124293066561e-5;1.319317441;SensTMatVec
0;1;10.78004;19;9.948826482286677e-5;1.460615521;SensMatVec
0;1;10.78004;17;9.061043238034472e-5;1.291376885;SensTMatVec
0;1;10.78004;20;5.970296842860989e-5;1.504664577;SensMatVec
0;1;10.78004;17;7.774338155286387e-5;1.322724443;SensTMatVec
0;1;10.78004;27;8.027482181205414e-7;2.020401053;getData
0;1;10.78004;18;9.283825784223154e-5;1.377840889;SensTMatVec
0;1;10.78004;23;7.265926979016513e-5;1.700455735;SensMatVec
0;1;10.78004;19;6.471176311606541e-5;1.484494789;SensTMatVec
0;1;10.78004;22;7.760924199828878e-5;1.600918517;SensMatVec
0;1;10.78004;19;7.014032598817721e-5;1.514424386;SensTMatVec
0;1;10.78004;22;8.280839392682537e-5;1.578451218;SensMatVec
0;1;10.78004;19;6.18409612798132e-5;1.588564821;SensTMatVec
0;1;10.78004;22;7.1161070081871e-5;1.588186772;SensMatVec
0;1;10.78004;19;6.33600284345448e-5;1.611995677;SensTMatVec
0;1;10.78004;22;7.070628635119647e-5;1.57556856;SensMatVec
0;1;10.78004;19;7.022294448688626e-5;1.435292306;SensTMatVec
