Cycle;FreqIndex;Omega;Iterations;Error
-1;-1;10.78004;47;9.655010944698006e-5
-1;-1;10.78004;48;9.299051453126594e-5
-1;-1;10.78004;48;9.091643732972443e-5
-1;-1;10.78004;48;9.892365051200613e-5
-1;-1;10.78004;49;8.306163363158703e-5
-1;-1;10.78004;48;9.65811632340774e-5
-1;-1;10.78004;49;9.028752538142726e-5
-1;-1;10.78004;49;8.613298268755898e-5
-1;-1;10.78004;50;8.42305162223056e-5
-1;-1;10.78004;50;9.379729453939945e-5
-1;-1;10.78004;50;8.14551385701634e-5
-1;-1;10.78004;52;9.032633533934131e-5
-1;-1;10.78004;53;9.311494795838371e-5
-1;-1;10.78004;50;9.586766100255772e-5
-1;-1;10.78004;50;8.520614210283384e-5
-1;-1;10.78004;49;9.902272722683847e-5
-1;-1;10.78004;49;9.378745744470507e-5
-1;-1;10.78004;48;9.460639557801187e-5
-1;-1;10.78004;48;9.383139695273712e-5
-1;-1;10.78004;48;8.990672358777374e-5
-1;-1;10.78004;42;9.515712736174464e-5
-1;-1;12.127545;49;8.798058843240142e-5
-1;-1;12.127545;50;8.474803325952962e-5
-1;-1;12.127545;49;9.580518235452473e-5
-1;-1;12.127545;50;8.854031329974532e-5
-1;-1;12.127545;50;7.953173917485401e-5
-1;-1;12.127545;50;9.134734136750922e-5
-1;-1;12.127545;48;9.990311809815466e-5
-1;-1;12.127545;52;9.028596105054021e-5
-1;-1;12.127545;50;8.698099554749206e-5
-1;-1;12.127545;49;9.546824003336951e-5
-1;-1;12.127545;50;8.358069317182526e-5
-1;-1;12.127545;50;9.981364564737305e-5
-1;-1;12.127545;50;8.1284211773891e-5
-1;-1;12.127545;50;8.875683124642819e-5
-1;-1;12.127545;50;9.331233013654128e-5
-1;-1;12.127545;49;8.579190034652129e-5
-1;-1;12.127545;52;9.117221634369344e-5
-1;-1;12.127545;50;8.431231981376186e-5
-1;-1;12.127545;50;9.420153946848586e-5
-1;-1;12.127545;49;8.556831016903743e-5
-1;-1;12.127545;43;9.655988105805591e-5
-1;-1;13.47505;53;9.486993803875521e-5
-1;-1;13.47505;53;9.111857798416167e-5
-1;-1;13.47505;53;9.263762331102043e-5
-1;-1;13.47505;53;9.864161984296516e-5
-1;-1;13.47505;53;9.027477790368721e-5
