Cycle;FreqIndex;Omega;Iterations;Error
-1;-1;10.78004;42;9.396516543347389e-5
-1;-1;10.78004;44;8.039564272621647e-5
-1;-1;10.78004;44;8.10705532785505e-5
-1;-1;10.78004;44;8.253299893112853e-5
-1;-1;10.78004;43;9.008667257148772e-5
-1;-1;10.78004;44;8.327404066221789e-5
-1;-1;10.78004;44;8.167965279426426e-5
-1;-1;10.78004;43;9.426838369108737e-5
-1;-1;10.78004;44;8.919605170376599e-5
-1;-1;10.78004;44;9.323761332780123e-5
-1;-1;10.78004;43;8.898523083189502e-5
-1;-1;10.78004;45;9.304598643211648e-5
-1;-1;10.78004;46;8.934951620176435e-5
-1;-1;10.78004;44;9.953033440979198e-5
-1;-1;10.78004;44;8.821942174108699e-5
-1;-1;10.78004;44;8.489378524245694e-5
-1;-1;10.78004;43;9.064215555554256e-5
-1;-1;10.78004;43;9.254521137336269e-5
-1;-1;10.78004;42;9.216643957188353e-5
-1;-1;10.78004;42;8.724316285224631e-5
-1;-1;10.78004;34;9.480224980507046e-5
-1;-1;12.127545;43;8.723067730898038e-5
-1;-1;12.127545;44;7.969036960275844e-5
-1;-1;12.127545;44;9.440899157198146e-5
-1;-1;12.127545;44;8.538299152860418e-5
-1;-1;12.127545;44;9.065389167517424e-5
-1;-1;12.127545;44;8.638325380161405e-5
-1;-1;12.127545;42;9.669089922681451e-5
-1;-1;12.127545;45;8.721081394469365e-5
-1;-1;12.127545;44;8.49887146614492e-5
-1;-1;12.127545;43;9.412773215444759e-5
-1;-1;12.127545;44;8.329793490702286e-5
-1;-1;12.127545;45;9.82855781330727e-5
-1;-1;12.127545;44;8.858022192725912e-5
-1;-1;12.127545;44;9.224195673596114e-5
-1;-1;12.127545;44;9.853725350694731e-5
-1;-1;12.127545;44;8.618489664513618e-5
-1;-1;12.127545;45;9.204881644109264e-5
-1;-1;12.127545;45;8.369576244149357e-5
-1;-1;12.127545;45;8.52033554110676e-5
-1;-1;12.127545;42;9.54433053266257e-5
-1;-1;12.127545;35;9.866732580121607e-5
-1;-1;13.47505;45;9.56756339292042e-5
-1;-1;13.47505;45;9.849031630437821e-5
-1;-1;13.47505;45;9.557484008837491e-5
-1;-1;13.47505;46;8.470959437545389e-5
-1;-1;13.47505;46;9.153356222668663e-5
-1;-1;13.47505;46;8.535957749700174e-5
-1;-1;13.47505;46;8.765086386119947e-5
-1;-1;13.47505;45;9.266092820325866e-5
-1;-1;13.47505;46;9.08729707589373e-5
-1;-1;13.47505;47;9.646955004427582e-5
-1;-1;13.47505;47;9.013407543534413e-5
-1;-1;13.47505;44;9.451896767131984e-5
-1;-1;13.47505;45;9.557835437590256e-5
-1;-1;13.47505;46;9.190777927869931e-5
-1;-1;13.47505;46;8.831734157865867e-5
-1;-1;13.47505;45;9.280842641601339e-5
-1;-1;13.47505;45;9.497603605268523e-5
-1;-1;13.47505;44;9.522648906568065e-5
-1;-1;13.47505;44;8.772673027124256e-5
-1;-1;13.47505;46;9.126832446781918e-5
-1;-1;13.47505;38;7.938942144392058e-5
-1;-1;28.297606;184;9.705607226351276e-5
-1;-1;28.297606;197;9.715079795569181e-5
-1;-1;28.297606;210;9.660601790528744e-5
-1;-1;28.297606;186;9.981328912544996e-5
-1;-1;28.297606;189;9.667301492299885e-5
-1;-1;28.297606;194;9.86734958132729e-5
-1;-1;28.297606;193;9.875073010334745e-5
-1;-1;28.297606;193;9.299285738961771e-5
-1;-1;28.297606;192;8.787200204096735e-5
-1;-1;28.297606;202;9.199646592605859e-5
-1;-1;28.297606;190;9.954147390089929e-5
-1;-1;28.297606;202;9.86461600405164e-5
-1;-1;28.297606;202;9.416127431904897e-5
-1;-1;28.297606;203;9.870465873973444e-5
-1;-1;28.297606;214;9.674899774836376e-5
-1;-1;28.297606;209;9.597431198926643e-5
-1;-1;28.297606;192;9.090240200748667e-5
-1;-1;28.297606;182;9.354247595183551e-5
-1;-1;28.297606;173;9.796331141842529e-5
-1;-1;28.297606;164;9.727865835884586e-5
-1;-1;28.297606;142;9.377006063004956e-5
0;1;10.78004;22;9.802237036637962e-5
0;1;10.78004;25;8.18364933365956e-5
0;1;10.78004;28;8.522469579475e-5
0;1;10.78004;25;7.304988685064018e-5
0;1;10.78004;28;7.680571434320882e-5
0;1;10.78004;25;7.529639697168022e-5
0;1;10.78004;27;9.911401139106601e-5
0;1;10.78004;25;8.172032539732754e-5
0;1;10.78004;28;7.68287864048034e-5
0;1;10.78004;25;8.327300020027906e-5
0;1;10.78004;28;7.713101513218135e-5
0;1;10.78004;25;8.030892786337063e-5
0;1;10.78004;22;8.415212505497038e-5
0;2;10.78004;22;9.602731734048575e-5
0;2;10.78004;25;7.592538167955354e-5
0;2;12.127545;20;7.293064845725894e-5
0;2;12.127545;22;8.611567318439484e-5
0;2;10.78004;28;8.076956873992458e-5
0;2;10.78004;25;7.967495184857398e-5
0;2;12.127545;27;6.742402911186218e-5
0;2;12.127545;23;9.645830141380429e-5
0;2;10.78004;28;7.214495417429134e-5
0;2;10.78004;25;7.353034015977755e-5
0;2;12.127545;27;6.893921818118542e-5
0;2;12.127545;23;8.903034904506058e-5
0;2;10.78004;27;9.371462510898709e-5
0;2;10.78004;25;6.960443715797737e-5
