Cycle;FreqIndex;Omega;Iterations;Error
0;1;10.78004;26;7.035496673779562e-5
0;1;10.78004;28;7.771243690513074e-5
0;1;10.78004;30;6.523542833747342e-5
0;1;10.78004;28;7.353332330239937e-5
0;1;10.78004;29;9.560416947351769e-5
0;1;10.78004;28;6.823038711445406e-5
0;1;10.78004;29;6.6660089942161e-5
0;1;10.78004;27;9.832375508267432e-5
0;1;10.78004;29;7.52070700400509e-5
0;1;10.78004;28;7.328212086576968e-5
0;1;10.78004;26;6.918789586052299e-5
0;1;10.78004;28;7.746337360003963e-5
0;1;10.78004;30;6.847755867056549e-5
0;1;10.78004;27;8.123703446472064e-5
0;1;10.78004;29;9.974304703064263e-5
0;1;10.78004;28;7.374013512162492e-5
0;1;10.78004;29;7.864404324209318e-5
0;1;10.78004;27;8.014527702471241e-5
0;1;10.78004;29;6.900036532897502e-5
0;1;10.78004;27;7.752123929094523e-5
0;1;10.78004;29;7.494488818338141e-5
0;1;10.78004;27;8.080491534201428e-5
0;1;10.78004;26;6.074948760215193e-5
0;2;10.78004;25;9.746103023644537e-5
0;2;10.78004;27;8.472034096485004e-5
0;2;12.127545;23;8.825139957480133e-5
0;2;12.127545;26;5.891325417906046e-5
0;2;10.78004;30;7.277746044564992e-5
0;2;10.78004;27;9.487985516898334e-5
0;2;12.127545;28;6.362354179145768e-5
0;2;12.127545;26;6.294695776887238e-5
0;2;10.78004;30;8.158935816027224e-5
0;2;10.78004;27;8.917074592318386e-5
0;2;12.127545;28;6.101842154748738e-5
0;2;12.127545;26;6.922452303115278e-5
0;2;10.78004;29;6.996755109867081e-5
0;2;10.78004;27;8.226722275139764e-5
0;2;12.127545;27;9.406211756868288e-5
0;2;12.127545;26;5.344352393876761e-5
0;2;10.78004;29;8.437457290710881e-5
0;2;10.78004;26;9.93061694316566e-5
0;2;12.127545;27;9.312493057223037e-5
0;2;12.127545;26;5.884486745344475e-5
0;2;10.78004;28;8.652453107060865e-5
0;2;10.78004;27;6.705113628413528e-5
0;2;12.127545;26;9.850683272816241e-5
0;2;12.127545;26;5.465252252179198e-5
0;2;10.78004;29;9.276912896893919e-5
0;2;10.78004;27;8.940551924752071e-5
0;2;12.127545;28;5.791406874777749e-5
0;2;12.127545;26;6.736023351550102e-5
0;2;10.78004;29;6.870655488455668e-5
0;2;10.78004;26;9.971997496904805e-5
0;2;12.127545;26;7.77704844949767e-5
0;2;12.127545;26;6.188283441588283e-5
0;2;10.78004;26;7.658005051780492e-5
0;2;12.127545;22;8.00013731350191e-5
0;2;10.78004;28;8.234631968662143e-5
0;2;12.127545;26;6.729987217113376e-5
0;2;10.78004;32;8.619936124887317e-5
0;2;10.78004;29;9.572922863299027e-5
0;2;12.127545;28;5.0664755690377206e-5
0;2;12.127545;26;7.686653407290578e-5
0;2;10.78004;30;9.837932884693146e-5
0;2;10.78004;29;7.808234659023583e-5
0;2;12.127545;27;8.308618271257728e-5
0;2;12.127545;26;6.973353447392583e-5
0;2;10.78004;30;9.458774729864672e-5
0;2;10.78004;29;8.319461630890146e-5
0;2;12.127545;27;8.324969530804083e-5
0;2;12.127545;26;5.874581620446406e-5
0;2;10.78004;30;8.57308623380959e-5
0;2;10.78004;29;7.381475734291598e-5
0;2;12.127545;26;9.024888277053833e-5
0;2;12.127545;26;5.699196844943799e-5
0;2;10.78004;29;9.883531311061233e-5
0;2;10.78004;28;9.71122644841671e-5
0;2;12.127545;26;9.414614760316908e-5
0;2;12.127545;25;9.279939695261419e-5
0;2;10.78004;32;8.526516467100009e-5
0;2;10.78004;29;9.130607213592157e-5
0;2;12.127545;27;9.571861301083118e-5
0;2;12.127545;26;6.755107460776344e-5
0;2;10.78004;30;7.079041824908927e-5
0;2;10.78004;28;9.960410534404218e-5
0;2;12.127545;26;6.892521923873574e-5
0;2;12.127545;26;7.19266026862897e-5
0;2;10.78004;26;8.571308717364445e-5
0;2;12.127545;22;9.463055903324857e-5
0;3;10.78004;26;9.168124233838171e-5
0;3;10.78004;28;7.546549022663385e-5
0;3;12.127545;22;8.79087601788342e-5
0;3;12.127545;26;6.529898382723331e-5
0;3;13.47505;17;5.244420390226878e-5
0;3;13.47505;18;8.489467290928587e-5
0;3;10.78004;32;7.607106090290472e-5
0;3;10.78004;29;9.101818432100117e-5
0;3;12.127545;27;8.068320312304422e-5
0;3;12.127545;26;8.74473771546036e-5
0;3;13.47505;20;5.3892104915576056e-5
0;3;13.47505;19;7.266099419211969e-5
0;3;10.78004;30;8.43227535369806e-5
0;3;10.78004;29;8.409682050114498e-5
0;3;12.127545;27;7.837510202080011e-5
0;3;12.127545;26;5.976718239253387e-5
0;3;13.47505;19;6.971764378249645e-5
0;3;13.47505;19;5.930447514401749e-5
0;3;10.78004;30;6.91994428052567e-5
0;3;10.78004;29;7.554058538516983e-5
0;3;12.127545;27;7.684312731726095e-5
0;3;12.127545;26;8.069813338806853e-5
0;3;13.47505;19;9.758332453202456e-5
0;3;13.47505;19;7.350026135100052e-5
0;3;10.78004;30;7.551552698714659e-5
0;3;10.78004;29;7.537983037764207e-5
0;3;12.127545;27;7.86149685154669e-5
0;3;12.127545;26;8.692061237525195e-5
0;3;13.47505;19;7.610955071868375e-5
0;3;13.47505;18;9.336941002402455e-5
0;3;10.78004;29;7.180006650742143e-5
0;3;10.78004;28;9.429445344721898e-5
0;3;12.127545;26;6.855776882730424e-5
0;3;12.127545;25;8.512326894560829e-5
0;3;13.47505;18;7.002452184678987e-5
0;3;13.47505;18;8.739578333916143e-5
0;3;10.78004;32;7.820592873031273e-5
0;3;10.78004;29;8.295846782857552e-5
0;3;12.127545;28;5.350189167074859e-5
0;3;12.127545;26;7.771404489176348e-5
0;3;13.47505;20;6.014432437950745e-5
0;3;13.47505;19;6.841836147941649e-5
0;3;10.78004;30;6.382472929544747e-5
0;3;10.78004;29;8.524799341103062e-5
0;3;12.127545;26;8.777508628554642e-5
0;3;12.127545;26;7.031031418591738e-5
0;3;13.47505;19;7.33169072191231e-5
0;3;13.47505;19;6.403412407962605e-5
0;3;10.78004;27;9.879688150249422e-5
0;3;12.127545;23;8.672218245919794e-5
0;3;13.47505;17;9.006848995340988e-5
0;3;10.78004;29;7.910714339232072e-5
0;3;12.127545;26;6.419631972676143e-5
0;3;13.47505;19;7.970073056640103e-5
0;3;10.78004;32;9.422453149454668e-5
0;3;10.78004;30;8.77249549375847e-5
0;3;12.127545;28;7.838627061573789e-5
0;3;12.127545;27;8.471250475849956e-5
0;3;13.47505;20;9.30961687117815e-5
0;3;13.47505;20;7.160703535191715e-5
0;3;10.78004;32;9.334959759144112e-5
0;3;10.78004;30;7.350467785727233e-5
0;3;12.127545;28;6.602647772524506e-5
0;3;12.127545;26;7.51621337258257e-5
0;3;13.47505;20;6.791495979996398e-5
0;3;13.47505;20;7.187355367932469e-5
0;3;10.78004;30;8.689337846590206e-5
0;3;10.78004;30;7.14059206075035e-5
0;3;12.127545;28;6.882818706799299e-5
