Cycle;FreqIndex;Omega;Iterations;Error
0;1;10.2392645;22;8.243379852501675e-5
0;1;10.2392645;24;7.324151374632493e-5
0;1;10.2392645;29;6.9875517510809e-5
0;1;10.2392645;23;9.419503476237878e-5
0;1;10.2392645;28;8.307129610329866e-5
0;1;10.2392645;23;9.392299398314208e-5
0;1;10.2392645;30;6.487490463769063e-5
0;1;10.2392645;25;8.346268441528082e-5
0;1;10.2392645;28;7.687384641030803e-5
0;1;10.2392645;24;8.00566776888445e-5
0;1;10.2392645;28;8.817768684821203e-5
0;1;10.2392645;24;8.356181933777407e-5
0;1;10.2392645;22;8.83376706042327e-5
0;1;10.2392645;22;9.981879702536389e-5
0;1;10.2392645;28;9.836877143243328e-5
0;1;10.2392645;23;8.34473394206725e-5
0;1;10.2392645;28;7.153031037887558e-5
0;1;10.2392645;24;6.206976831890643e-5
0;1;10.2392645;29;9.740198584040627e-5
0;1;10.2392645;25;7.255761011037976e-5
0;1;10.2392645;27;9.57424781518057e-5
0;1;10.2392645;23;9.679259528638795e-5
0;1;10.2392645;29;8.519527909811586e-5
0;1;10.2392645;25;8.511060877935961e-5
0;1;10.2392645;29;7.052973523968831e-5
0;1;10.2392645;25;7.591983012389392e-5
0;1;10.2392645;28;9.168176620732993e-5
0;1;10.2392645;24;9.599507029633969e-5
0;1;10.2392645;23;9.479304571868852e-5
0;1;10.2392645;24;7.680815178900957e-5
0;1;10.2392645;29;7.297491538338363e-5
0;1;10.2392645;24;7.194292993517593e-5
0;1;10.2392645;29;7.827924127923325e-5
0;1;10.2392645;25;7.060782809276134e-5
0;1;10.2392645;30;7.799670129315928e-5
0;1;10.2392645;26;7.886344974394888e-5
0;1;10.2392645;28;8.856670319801196e-5
0;1;10.2392645;24;9.209239215124398e-5
0;1;10.2392645;29;9.456276166019961e-5
0;1;10.2392645;25;9.576609591022134e-5
0;1;10.2392645;30;7.291536167031154e-5
0;1;10.2392645;25;8.52081211633049e-5
0;1;10.2392645;30;6.957795267226174e-5
0;1;10.2392645;26;7.719350833212957e-5
0;1;10.2392645;24;8.111412898870185e-5
0;1;10.2392645;25;9.71388362813741e-5
0;1;10.2392645;32;7.871403795434162e-5
0;1;10.2392645;26;7.034241571091115e-5
0;1;10.2392645;33;7.330079097300768e-5
0;1;10.2392645;26;9.378817048855126e-5
0;1;10.2392645;32;8.366430120076984e-5
0;1;10.2392645;27;8.763970981817693e-5
0;1;10.2392645;30;8.580012945458293e-5
0;1;10.2392645;27;6.897195999044925e-5
0;1;10.2392645;30;6.491201202152297e-5
0;1;10.2392645;26;7.303516031242907e-5
0;1;10.2392645;30;7.92706705396995e-5
0;1;10.2392645;25;9.553557902108878e-5
0;1;10.2392645;32;8.167746273102239e-5
0;1;10.2392645;27;8.052983321249485e-5
0;1;10.2392645;24;9.707581193652004e-5
0;1;10.2392645;26;8.265920769190416e-5
0;1;10.2392645;34;7.269836351042613e-5
0;1;10.2392645;28;6.78061624057591e-5
0;1;10.2392645;34;7.1798000135459e-5
0;1;10.2392645;27;8.138066186802462e-5
0;1;10.2392645;30;8.57604609336704e-5
0;1;10.2392645;26;7.97425745986402e-5
0;1;10.2392645;33;8.388777496293187e-5
0;1;10.2392645;28;7.199839456006885e-5
0;1;10.2392645;32;9.276702621718869e-5
0;1;10.2392645;27;9.166671225102618e-5
0;1;10.2392645;32;8.205581980291754e-5
0;1;10.2392645;27;8.131909999065101e-5
0;1;10.2392645;33;8.589842036599293e-5
0;1;10.2392645;27;7.381502655334771e-5
0;1;10.2392645;26;9.04338012333028e-5
0;1;10.2392645;28;7.840316538931802e-5
0;1;10.2392645;35;8.941903797676787e-5
0;1;10.2392645;29;8.620275184512138e-5
0;1;10.2392645;35;9.945615602191538e-5
0;1;10.2392645;29;8.747534593567252e-5
0;1;10.2392645;34;9.396656969329342e-5
0;1;10.2392645;29;7.68780373618938e-5
0;1;10.2392645;34;7.432471466017887e-5
0;1;10.2392645;28;7.887605170253664e-5
0;1;10.2392645;34;7.653345528524369e-5
0;1;10.2392645;28;9.791818592930213e-5
0;1;10.2392645;35;8.156834519468248e-5
0;1;10.2392645;29;8.46126422402449e-5
0;1;10.2392645;34;9.374936780659482e-5
0;1;10.2392645;28;9.48513115872629e-5
0;1;10.2392645;26;9.069213410839438e-5
0;1;10.2392645;28;9.929368388839066e-5
0;1;10.2392645;36;8.420581434620544e-5
0;1;10.2392645;29;8.721327321836725e-5
0;1;10.2392645;35;8.687699300935492e-5
0;1;10.2392645;29;8.58743442222476e-5
0;1;10.2392645;36;8.625526970718056e-5
0;1;10.2392645;30;8.855393389239907e-5
0;1;10.2392645;34;9.117920853896067e-5
0;1;10.2392645;29;7.864536019042134e-5
0;1;10.2392645;35;9.194907761411741e-5
0;1;10.2392645;30;7.296595867956057e-5
0;1;10.2392645;36;7.499345520045608e-5
0;1;10.2392645;29;8.404516120208427e-5
0;1;10.2392645;35;7.827318040654063e-5
0;1;10.2392645;28;8.951844210969284e-5
0;1;10.2392645;28;7.119458314264193e-5
0;1;10.2392645;29;8.981556311482564e-5
0;1;10.2392645;37;8.461846300633624e-5
0;1;10.2392645;30;7.727884076302871e-5
0;1;10.2392645;36;9.41054240684025e-5
0;1;10.2392645;29;8.529072511009872e-5
0;1;10.2392645;37;7.484191155526787e-5
0;1;10.2392645;32;7.347313658101484e-5
0;1;10.2392645;37;7.846824883017689e-5
0;1;10.2392645;32;8.668930968269706e-5
0;1;10.2392645;36;8.645834168419242e-5
0;1;10.2392645;32;7.938964699860662e-5
0;1;10.2392645;36;9.519530431134626e-5
0;1;10.2392645;29;8.613479440100491e-5
0;1;10.2392645;36;7.636836380697787e-5
0;1;10.2392645;30;9.363766730530187e-5
0;1;10.2392645;27;8.263103518402204e-5
0;2;10.2392645;22;7.651954365428537e-5
0;2;10.2392645;24;7.99392000772059e-5
0;2;12.287118;23;7.472236757166684e-5
0;2;12.287118;25;8.456454816041514e-5
0;2;10.2392645;28;9.51886540860869e-5
0;2;10.2392645;24;8.360596984857693e-5
0;2;12.287118;29;8.302564674522728e-5
0;2;12.287118;25;8.50689975777641e-5
0;2;10.2392645;28;8.100394916255027e-5
0;2;10.2392645;24;7.915811875136569e-5
0;2;12.287118;29;8.289003744721413e-5
0;2;12.287118;25;7.75652879383415e-5
0;2;10.2392645;27;8.712645649211481e-5
0;2;10.2392645;24;7.81981652835384e-5
0;2;12.287118;28;7.792669930495322e-5
0;2;12.287118;25;7.347654172917828e-5
0;2;10.2392645;27;9.983056224882603e-5
0;2;10.2392645;24;8.38155101519078e-5
0;2;12.287118;28;9.883997699944302e-5
0;2;12.287118;25;9.106716606765985e-5
0;2;10.2392645;27;9.167355892714113e-5
0;2;10.2392645;24;8.309057739097625e-5
0;2;12.287118;28;9.050765947904438e-5
0;2;12.287118;25;8.22917209006846e-5
0;2;10.2392645;28;7.357379945460707e-5
0;2;10.2392645;24;8.791746222414076e-5
0;2;12.287118;29;7.206246664281934e-5
0;2;12.287118;25;9.575314470566809e-5
0;2;10.2392645;27;8.76934573170729e-5
0;2;10.2392645;24;8.175425318768248e-5
0;2;12.287118;28;8.280048496089876e-5
0;2;12.287118;25;7.44705248507671e-5
0;2;10.2392645;22;8.653518307255581e-5
0;2;12.287118;23;7.801072206348181e-5
0;2;10.2392645;24;9.545924694975838e-5
0;2;12.287118;25;8.023577538551763e-5
0;2;10.2392645;28;8.44142196001485e-5
0;2;10.2392645;24;9.875895921140909e-5
0;2;12.287118;29;8.412401803070679e-5
0;2;12.287118;25;7.698075933149084e-5
0;2;10.2392645;29;7.446551171597093e-5
0;2;10.2392645;25;7.371376705123112e-5
0;2;12.287118;29;7.949352584546432e-5
0;2;12.287118;25;8.450137102045119e-5
0;2;10.2392645;29;7.259249832713977e-5
0;2;10.2392645;24;9.622170910006389e-5
0;2;12.287118;29;7.836776785552502e-5
0;2;12.287118;25;7.832228584447876e-5
0;2;10.2392645;28;9.168107499135658e-5
0;2;10.2392645;25;7.210325566120446e-5
0;2;12.287118;29;7.395952707156539e-5
0;2;12.287118;25;8.59081992530264e-5
0;2;10.2392645;28;8.621835149824619e-5
0;2;10.2392645;25;7.29983439669013e-5
0;2;12.287118;28;9.142471390077844e-5
0;2;12.287118;25;9.5653987955302e-5
0;2;10.2392645;28;7.911157445050776e-5
0;2;10.2392645;25;7.026957609923556e-5
0;2;12.287118;28;9.071669046534225e-5
0;2;12.287118;25;8.115037780953571e-5
0;2;10.2392645;28;9.69959219219163e-5
0;2;10.2392645;24;9.674249304225668e-5
0;2;12.287118;29;7.501324580516666e-5
