Cycle;FreqIndex;Omega;Iterations;Error
0;1;10.2392645;20;9.947051148628816e-5
0;1;10.2392645;23;8.792555308900774e-5
0;1;10.2392645;29;7.150243618525565e-5
0;1;10.2392645;24;6.593542639166117e-5
0;1;10.2392645;28;9.477957064518705e-5
0;1;10.2392645;24;9.035896073328331e-5
0;1;10.2392645;29;9.104172204388306e-5
0;1;10.2392645;25;7.422544877044857e-5
0;1;10.2392645;28;7.13184563210234e-5
0;1;10.2392645;24;8.581295696785673e-5
0;1;10.2392645;28;8.721181802684441e-5
0;1;10.2392645;24;7.415012805722654e-5
0;1;10.2392645;23;8.31193829071708e-5
0;1;10.2392645;23;9.110782411880791e-5
0;1;10.2392645;29;7.208912575151771e-5
0;1;10.2392645;23;9.206990216625854e-5
0;1;10.2392645;29;6.512836989713833e-5
0;1;10.2392645;24;6.412516813725233e-5
0;1;10.2392645;30;8.125047315843403e-5
0;1;10.2392645;25;7.99568006186746e-5
0;1;10.2392645;28;8.595931285526603e-5
0;1;10.2392645;24;7.088924030540511e-5
0;1;10.2392645;29;8.654372504679486e-5
0;1;10.2392645;24;9.548784873913974e-5
0;1;10.2392645;29;6.513770495075732e-5
0;1;10.2392645;24;6.260033114813268e-5
0;1;10.2392645;23;9.966848301701248e-5
0;1;10.2392645;25;7.523436943301931e-5
0;1;10.2392645;30;7.746039773337543e-5
0;1;10.2392645;25;7.70326514611952e-5
0;1;10.2392645;29;7.494574674637988e-5
0;1;10.2392645;25;7.49280079617165e-5
0;1;10.2392645;32;8.94118711585179e-5
0;1;10.2392645;26;9.301578393206e-5
0;1;10.2392645;28;8.403135871049017e-5
0;1;10.2392645;25;7.456593448296189e-5
0;1;10.2392645;28;8.535900997230783e-5
0;1;10.2392645;24;9.997499728342518e-5
0;1;10.2392645;32;7.838766759959981e-5
0;1;10.2392645;26;7.431382255163044e-5
0;1;10.2392645;30;8.820564107736573e-5
0;1;10.2392645;26;7.14892303221859e-5
0;1;10.2392645;25;7.575667405035347e-5
0;1;10.2392645;26;9.651454456616193e-5
0;1;10.2392645;33;9.600310295354575e-5
0;1;10.2392645;26;9.711583697935566e-5
0;1;10.2392645;33;8.429076842730865e-5
0;1;10.2392645;27;9.305277490057051e-5
0;1;10.2392645;32;7.404515781672671e-5
0;1;10.2392645;27;8.040711691137403e-5
0;1;10.2392645;33;9.597551252227277e-5
0;1;10.2392645;27;8.159891876857728e-5
0;1;10.2392645;30;9.747419244376943e-5
0;1;10.2392645;27;7.670302147744223e-5
0;1;10.2392645;32;7.6620104664471e-5
0;1;10.2392645;26;9.487572242505848e-5
0;1;10.2392645;32;9.614767623133957e-5
0;1;10.2392645;27;7.870374975027516e-5
0;1;10.2392645;25;9.146214870270342e-5
0;1;10.2392645;27;8.506031008437276e-5
0;1;10.2392645;34;9.825607412494719e-5
0;1;10.2392645;27;9.324640996055678e-5
0;1;10.2392645;34;6.286075949901715e-5
0;1;10.2392645;28;6.937856960576028e-5
0;1;10.2392645;34;7.546561391791329e-5
0;1;10.2392645;28;8.23842638055794e-5
0;1;10.2392645;34;8.509359031450003e-5
0;1;10.2392645;28;9.224081441061571e-5
0;1;10.2392645;33;8.319943299284205e-5
0;1;10.2392645;28;7.142965478124097e-5
0;1;10.2392645;34;7.667522004339844e-5
0;1;10.2392645;28;7.765551708871499e-5
0;1;10.2392645;33;8.517070091329515e-5
0;1;10.2392645;28;7.440646731993183e-5
0;1;10.2392645;26;9.518278238829225e-5
0;1;10.2392645;29;7.478662155335769e-5
0;1;10.2392645;36;8.897707448340952e-5
0;1;10.2392645;28;9.282013343181461e-5
0;1;10.2392645;36;9.810693154577166e-5
0;1;10.2392645;29;9.530682291369885e-5
0;1;10.2392645;38;7.227988680824637e-5
0;1;10.2392645;32;7.523930253228173e-5
0;1;10.2392645;38;7.158293010434136e-5
0;1;10.2392645;30;7.653034845134243e-5
0;1;10.2392645;34;9.850352216744795e-5
0;1;10.2392645;29;7.7785924077034e-5
0;1;10.2392645;36;7.44630306144245e-5
0;1;10.2392645;29;7.149888551793993e-5
0;1;10.2392645;35;8.980757411336526e-5
0;1;10.2392645;29;7.746087067062035e-5
0;1;10.2392645;26;9.290941670769826e-5
0;1;10.2392645;29;8.280717156594619e-5
0;1;10.2392645;35;8.392538438783959e-5
0;1;10.2392645;29;7.136143540265039e-5
0;1;10.2392645;35;8.510093175573274e-5
0;1;10.2392645;29;7.509398710681126e-5
0;1;10.2392645;35;9.465777839068323e-5
0;1;10.2392645;29;7.686883327551186e-5
0;1;10.2392645;34;8.575220999773592e-5
0;1;10.2392645;29;7.629208994330838e-5
0;1;10.2392645;35;9.296454663854092e-5
0;1;10.2392645;29;9.898722055368125e-5
0;1;10.2392645;35;7.749853830318898e-5
0;1;10.2392645;28;9.831109491642565e-5
0;1;10.2392645;35;9.78111638687551e-5
0;1;10.2392645;29;7.227358582895249e-5
0;1;10.2392645;27;7.376612484222278e-5
0;1;10.2392645;29;8.245609933510423e-5
0;1;10.2392645;36;8.646383503219113e-5
0;1;10.2392645;28;9.835875971475616e-5
0;1;10.2392645;37;8.772422006586567e-5
0;1;10.2392645;30;8.734278526389971e-5
0;1;10.2392645;37;8.720003825146705e-5
0;1;10.2392645;30;8.928358874982223e-5
0;1;10.2392645;36;9.247138950740919e-5
0;1;10.2392645;30;8.920121035771444e-5
0;1;10.2392645;36;9.056219278136268e-5
0;1;10.2392645;29;8.695896394783631e-5
0;1;10.2392645;35;8.12430662335828e-5
0;1;10.2392645;29;6.647151167271659e-5
0;1;10.2392645;35;8.40769280330278e-5
0;1;10.2392645;28;9.192111610900611e-5
0;1;10.2392645;27;7.831361290300265e-5
0;2;10.2392645;24;7.479095074813813e-5
0;2;10.2392645;26;8.84348337422125e-5
0;2;12.287118;24;7.870247645769268e-5
0;2;12.287118;26;8.059563697315753e-5
0;2;10.2392645;32;8.50158030516468e-5
0;2;10.2392645;26;9.049329673871398e-5
0;2;12.287118;32;7.260591519298032e-5
0;2;12.287118;27;7.293189264601097e-5
0;2;10.2392645;30;9.168418910121545e-5
0;2;10.2392645;26;8.09582052170299e-5
0;2;12.287118;30;9.665273682912812e-5
0;2;12.287118;27;7.63653006288223e-5
0;2;10.2392645;30;9.883779421215877e-5
