Cycle;FreqIndex;Omega;Iterations;Error
0;1;10.2392645;20;9.94852525764145e-5
0;1;10.2392645;23;9.360229159938172e-5
0;1;10.2392645;29;6.459590076701716e-5
0;1;10.2392645;24;6.048454815754667e-5
0;1;10.2392645;28;9.095959831029177e-5
0;1;10.2392645;23;9.819300612434745e-5
0;1;10.2392645;29;7.959960930747911e-5
0;1;10.2392645;25;6.535719148814678e-5
0;1;10.2392645;28;7.642406126251444e-5
0;1;10.2392645;24;7.83333380240947e-5
0;1;10.2392645;28;8.786395483184606e-5
0;1;10.2392645;24;9.574771684128791e-5
0;1;10.2392645;22;9.810765914153308e-5
0;1;10.2392645;23;9.847582259681076e-5
0;1;10.2392645;29;7.000579353189096e-5
0;1;10.2392645;23;8.932403579819947e-5
0;1;10.2392645;28;7.653044303879142e-5
0;1;10.2392645;24;6.0194830439286307e-5
0;1;10.2392645;29;8.538893598597497e-5
0;1;10.2392645;25;7.293669477803633e-5
0;1;10.2392645;28;6.815765664214268e-5
0;1;10.2392645;24;7.284799357876182e-5
0;1;10.2392645;28;9.866891195997596e-5
0;1;10.2392645;24;9.407949255546555e-5
0;1;10.2392645;28;8.541620627511293e-5
0;1;10.2392645;24;6.005802788422443e-5
0;1;10.2392645;28;7.057098264340311e-5
0;1;10.2392645;24;7.660159462830052e-5
0;1;10.2392645;23;8.367718692170456e-5
0;1;10.2392645;24;7.473988080164418e-5
0;1;10.2392645;30;6.714206392643973e-5
0;1;10.2392645;24;8.56283149914816e-5
0;1;10.2392645;30;8.381661609746516e-5
0;1;10.2392645;25;7.421860937029123e-5
0;1;10.2392645;30;9.497549763182178e-5
0;1;10.2392645;25;9.942049655364826e-5
0;1;10.2392645;28;9.21410828595981e-5
0;1;10.2392645;25;6.710719753755257e-5
0;1;10.2392645;30;8.530678314855322e-5
0;1;10.2392645;25;9.843784209806472e-5
0;1;10.2392645;30;9.906245395541191e-5
0;1;10.2392645;25;9.354962821817026e-5
0;1;10.2392645;30;8.77562488312833e-5
0;1;10.2392645;26;7.641199772479013e-5
0;1;10.2392645;25;8.844503463478759e-5
0;1;10.2392645;26;8.465900464216247e-5
0;1;10.2392645;33;9.057454008143395e-5
0;1;10.2392645;26;9.771155600901693e-5
0;1;10.2392645;32;9.941760072251782e-5
0;1;10.2392645;27;8.012696343939751e-5
0;1;10.2392645;32;8.40190623421222e-5
0;1;10.2392645;27;7.619169628014788e-5
0;1;10.2392645;33;9.305615094490349e-5
0;1;10.2392645;28;7.459187327185646e-5
0;1;10.2392645;30;9.995845903176814e-5
0;1;10.2392645;27;8.793229062575847e-5
0;1;10.2392645;30;9.126302757067606e-5
0;1;10.2392645;27;9.160920308204368e-5
0;1;10.2392645;33;8.518535469193012e-5
0;1;10.2392645;27;8.545607852283865e-5
0;1;10.2392645;25;8.739015902392566e-5
0;1;10.2392645;26;9.599436452845111e-5
0;1;10.2392645;32;9.833285730564967e-5
0;1;10.2392645;27;7.429147080983967e-5
0;1;10.2392645;32;9.406625758856535e-5
0;1;10.2392645;27;8.35419850773178e-5
0;1;10.2392645;32;8.467704901704565e-5
0;1;10.2392645;26;9.975228749681264e-5
0;1;10.2392645;33;8.273796993307769e-5
0;1;10.2392645;29;7.248307520058006e-5
0;1;10.2392645;32;9.628647239878774e-5
0;1;10.2392645;27;7.916724280221388e-5
0;1;10.2392645;32;8.200425509130582e-5
0;1;10.2392645;27;6.953872798476368e-5
0;1;10.2392645;32;8.160810102708638e-5
0;1;10.2392645;27;9.138712630374357e-5
0;1;10.2392645;25;9.608166146790609e-5
0;1;10.2392645;27;8.354824967682362e-5
0;1;10.2392645;34;8.10380806797184e-5
0;1;10.2392645;27;9.850362403085455e-5
0;1;10.2392645;34;7.598831143695861e-5
0;1;10.2392645;28;9.341764962300658e-5
0;1;10.2392645;34;6.882387970108539e-5
0;1;10.2392645;28;7.130223821150139e-5
0;1;10.2392645;34;8.628262003185228e-5
0;1;10.2392645;28;9.347730519948527e-5
0;1;10.2392645;33;9.497141581960022e-5
0;1;10.2392645;27;8.690923277754337e-5
0;1;10.2392645;34;6.959892198210582e-5
0;1;10.2392645;27;8.91715390025638e-5
0;1;10.2392645;34;7.536806515417993e-5
0;1;10.2392645;28;8.36406325106509e-5
0;1;10.2392645;26;7.284227467607707e-5
0;1;10.2392645;28;7.058566552586854e-5
0;1;10.2392645;34;8.841002272674814e-5
0;1;10.2392645;28;8.946273010224104e-5
0;1;10.2392645;34;9.011427027871832e-5
0;1;10.2392645;28;9.933587716659531e-5
0;1;10.2392645;34;8.310165867442265e-5
0;1;10.2392645;28;9.291141759604216e-5
0;1;10.2392645;34;6.766962178517133e-5
0;1;10.2392645;27;9.511148527963087e-5
0;1;10.2392645;34;8.921205881051719e-5
0;1;10.2392645;28;9.535689605399966e-5
0;1;10.2392645;34;7.8816112363711e-5
0;1;10.2392645;28;9.392770880367607e-5
0;1;10.2392645;34;9.524057531962171e-5
0;1;10.2392645;28;8.356221223948523e-5
0;1;10.2392645;26;7.066400576150045e-5
0;1;10.2392645;28;7.09462765371427e-5
0;1;10.2392645;34;8.501545380568132e-5
0;1;10.2392645;28;8.976254321169108e-5
0;1;10.2392645;34;8.137024997267872e-5
0;1;10.2392645;28;9.084488556254655e-5
0;1;10.2392645;34;7.886055391281843e-5
0;1;10.2392645;28;7.915762398624793e-5
0;1;10.2392645;33;9.568986570229754e-5
0;1;10.2392645;28;7.780984014971182e-5
0;1;10.2392645;33;9.990176477003843e-5
0;1;10.2392645;28;8.852658356772736e-5
0;1;10.2392645;34;7.868427928769961e-5
0;1;10.2392645;28;7.371762330876663e-5
0;1;10.2392645;34;7.807616202626377e-5
0;1;10.2392645;28;8.918582170736045e-5
0;1;10.2392645;26;9.084925113711506e-5
0;2;10.2392645;26;9.149587276624516e-5
0;2;10.2392645;29;7.999269291758537e-5
0;2;12.287118;22;6.671938172075897e-5
0;2;12.287118;24;6.224816752364859e-5
0;2;10.2392645;35;8.555170643376186e-5
0;2;10.2392645;28;9.886339103104547e-5
0;2;12.287118;28;8.750451524974778e-5
0;2;12.287118;24;7.093174644978717e-5
0;2;10.2392645;35;7.804287452017888e-5
0;2;10.2392645;28;9.910800872603431e-5
0;2;12.287118;27;9.893501555779949e-5
0;2;12.287118;24;6.603889050893486e-5
0;2;10.2392645;35;8.258918387582526e-5
0;2;10.2392645;29;7.547427230747417e-5
0;2;12.287118;28;7.102673407644033e-5
0;2;12.287118;24;7.487454422516748e-5
0;2;10.2392645;34;9.23612096812576e-5
0;2;10.2392645;28;9.87491657724604e-5
0;2;12.287118;27;7.319117867155e-5
0;2;12.287118;24;6.433713133446872e-5
0;2;10.2392645;35;9.584370127413422e-5
0;2;10.2392645;29;8.537263056496158e-5
0;2;12.287118;27;9.256770135834813e-5
0;2;12.287118;24;7.05980637576431e-5
0;2;10.2392645;35;7.726635521976277e-5
0;2;10.2392645;29;8.256173168774694e-5
0;2;12.287118;28;6.456286791944876e-5
0;2;12.287118;24;7.04558624420315e-5
0;2;10.2392645;34;9.789564501261339e-5
0;2;10.2392645;29;7.2185714088846e-5
0;2;12.287118;27;8.266260556410998e-5
0;2;12.287118;24;7.279496639966965e-5
0;2;10.2392645;26;9.756317012943327e-5
0;2;12.287118;22;7.066908437991515e-5
0;2;10.2392645;29;8.57223421917297e-5
0;2;12.287118;24;6.91911336616613e-5
0;2;10.2392645;35;9.887322812573984e-5
0;2;10.2392645;29;7.554875628557056e-5
0;2;12.287118;28;7.06376158632338e-5
0;2;12.287118;24;6.353118806146085e-5
0;2;10.2392645;36;8.234362758230418e-5
0;2;10.2392645;29;8.354760211659595e-5
0;2;12.287118;28;8.671703835716471e-5
0;2;12.287118;24;7.882963836891577e-5
0;2;10.2392645;35;9.972803673008457e-5
0;2;10.2392645;29;9.007780317915604e-5
0;2;12.287118;28;6.859406130388379e-5
